Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,Prain_below_canopy[mm],Psnow_below_canopy[mm],Prain_above_canopy[mm],Prain_above_canopy[mm],Pnet[mm],Tair[C],Tsurface[C],Tvegetation[C],Evap_surface[mm],Transpiration_canopy[mm],LE[W/m2],H[W/m2],SW[W/m2],LW[W/m2],LEv[W/m2],Hv[W/m2],SWv[W/m2],LWv[W/m2],SWin[W/m2],LWin[W/m2],Mass_balance_error[mm],Mean_Time_Step[s]
15/03/2013 01:00,735308.041667,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.505120,-1.339058,-8.947046,0.010175,0.000000,8.011797,17.304540,0.000000,-83.343138,0.000000,0.922123,0.000000,-3.210052,0.000000,214.838459,0.000010,3600.000000
15/03/2013 02:00,735308.083333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.704960,-1.326829,-10.950421,0.006617,0.000000,5.210274,17.247555,0.000000,-82.294173,0.000000,-1.633678,0.000000,-2.875544,0.000000,217.369999,0.000000,3600.000000
15/03/2013 03:00,735308.125000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.905280,-1.264238,-11.403695,0.005459,0.000000,4.298308,17.834671,0.000000,-84.470423,0.000000,-1.967797,0.000000,-2.244104,0.000000,215.372235,0.000006,3600.000000
15/03/2013 04:00,735308.166667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.102560,-1.214535,-11.809950,0.004729,0.000000,3.723478,18.390467,0.000000,-87.829941,0.000000,-2.244600,0.000000,-2.492436,0.000000,211.865597,0.000025,3600.000000
15/03/2013 05:00,735308.208333,0.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.200000,-1.172323,-12.088786,0.004092,0.000000,3.222345,18.699973,0.000000,-90.084774,0.000000,-2.484502,0.000000,-2.654559,0.000000,209.562741,0.000002,3600.000000
15/03/2013 06:00,735308.250000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.200000,-1.465184,-12.082063,0.002172,0.000000,1.709900,18.094721,0.000000,-88.199714,0.000000,-2.474658,0.000000,-2.460809,0.000000,210.283731,0.000107,3600.000000
15/03/2013 07:00,735308.291667,0.291667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.197440,-2.336589,-11.901229,0.001027,0.000000,0.808672,16.239686,4.622516,-85.547821,0.000000,-2.238229,2.542992,-4.671418,6.490509,208.826619,0.000053,3600.000000
15/03/2013 08:00,735308.333333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.082640,-2.472705,-9.816111,0.000936,0.000000,0.737066,15.412953,32.185249,-86.571647,0.000000,0.418281,17.762355,-16.168196,45.211030,205.663025,0.000053,3600.000000
15/03/2013 09:00,735308.375000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.381520,-0.077655,2.885187,0.003016,0.021885,2.374561,18.110142,164.226445,-89.785041,15.162416,30.373060,123.729808,-69.375851,241.706352,206.105431,0.000027,3600.000000
15/03/2013 10:00,735308.416667,0.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.676960,1.595766,9.424432,0.010026,0.061394,7.894726,20.015518,310.170880,-92.438674,42.270177,45.963290,186.078246,-95.885012,440.231840,207.177660,0.000002,3600.000000
