Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
15/03/2013 00:00,735308.000000,0.000000,0,1,1,-3539.287993,-8890.057900,-6881.942404,-5572.473561,-5306.788598,-7486.789274,-8715.309031,-3615.309031,8384.690969 
15/03/2013 01:00,735308.041667,0.041667,1,1,1,-6814.105256,-7275.378566,-6850.888268,-5596.714056,-5311.774249,-7483.192885,-8714.598878,-3616.072722,-275.651409 
15/03/2013 02:00,735308.083333,0.083333,1,1,1,-8653.956756,-7791.214212,-6858.061286,-5620.259505,-5316.821347,-7479.623527,-8713.887161,-3616.837925,-313.115676 
15/03/2013 03:00,735308.125000,0.125000,1,1,1,-10145.558595,-8553.214254,-6914.092395,-5644.147284,-5321.928316,-7476.081233,-8713.173892,-3617.604375,-345.265517 
15/03/2013 04:00,735308.166667,0.166667,1,1,1,-11788.764673,-9365.428367,-7014.462733,-5669.263861,-5327.097568,-7472.566029,-8712.459083,-3618.371890,-373.731502 
15/03/2013 05:00,735308.208333,0.208333,1,1,1,-22921.824893,-9241.515038,-7093.140067,-5695.106792,-5332.330368,-7469.077949,-8711.742745,-3619.140332,-399.454846 
15/03/2013 06:00,735308.250000,0.250000,1,1,1,-70341.106558,-8846.117928,-7138.035086,-5720.958469,-5337.625010,-7465.617026,-8711.024890,-3619.909595,-423.037063 
15/03/2013 07:00,735308.291667,0.291667,1,1,1,-177830.655895,-9019.162797,-7188.365555,-5746.925409,-5342.979588,-7462.183284,-8710.305530,-3620.679593,-444.889957 
15/03/2013 08:00,735308.333333,0.333333,1,1,1,-216915.874949,-9429.625676,-7256.966876,-5773.362077,-5348.393447,-7458.776738,-8709.584676,-3621.450254,-465.309893 
15/03/2013 09:00,735308.375000,0.375000,1,1,1,-53835.023233,-8983.624325,-7293.664191,-5799.616443,-5353.864055,-7455.397401,-8708.862340,-3622.221518,-484.518421 
15/03/2013 10:00,735308.416667,0.416667,1,1,1,-7331.846189,-8380.699607,-7296.178912,-5825.030259,-5359.386477,-7452.045267,-8708.138534,-3622.993331,-502.686206 
15/03/2013 11:00,735308.458333,0.458333,1,1,1,-5053.208378,-5067.805618,-7120.720907,-5846.204378,-5364.945126,-7448.720303,-8707.413271,-3623.765650,-519.947941 
15/03/2013 12:00,735308.500000,0.500000,1,1,1,-5524.671228,-5554.464326,-6797.103190,-5860.502414,-5370.515229,-7445.422410,-8706.686563,-3624.538435,-536.412082 
15/03/2013 13:00,735308.541667,0.541667,1,1,1,-5911.091333,-5916.797861,-6637.443084,-5871.350011,-5376.082093,-7442.151409,-8705.958421,-3625.311648,-552.167451 
15/03/2013 14:00,735308.583333,0.583333,1,1,1,-6163.454397,-6152.607192,-6546.465051,-5880.186697,-5381.637568,-7438.907076,-8705.228858,-3626.085260,-567.287844 
15/03/2013 15:00,735308.625000,0.625000,1,1,1,-6326.922041,-6305.502695,-6493.700269,-5887.810170,-5387.176802,-7435.689164,-8704.497885,-3626.859241,-581.835338 
15/03/2013 16:00,735308.666667,0.666667,1,1,1,-6428.289226,-6401.095228,-6462.649286,-5894.673651,-5392.696823,-7432.497410,-8703.765515,-3627.633565,-595.862727 
15/03/2013 17:00,735308.708333,0.708333,1,1,1,-6491.373522,-6460.406779,-6443.902343,-5901.035363,-5398.195753,-7429.331543,-8703.031759,-3628.408208,-609.415336 
15/03/2013 18:00,735308.750000,0.750000,1,1,1,-6524.641385,-6492.309770,-6429.449964,-5906.992554,-5403.672253,-7426.191288,-8702.296630,-3629.183149,-622.532416 
15/03/2013 19:00,735308.791667,0.791667,1,1,1,-6541.538337,-6508.117550,-6417.400784,-5912.602747,-5409.125327,-7423.076369,-8701.560139,-3629.958367,-635.248208 
15/03/2013 20:00,735308.833333,0.833333,1,1,1,-6551.763666,-6517.067425,-6408.254010,-5917.930540,-5414.554287,-7419.986512,-8700.822297,-3630.733843,-647.592797 
15/03/2013 21:00,735308.875000,0.875000,1,1,1,-6777.600944,-6627.246212,-6408.174246,-5923.154682,-5419.959073,-7416.921444,-8700.083116,-3631.509561,-659.592771 
15/03/2013 22:00,735308.916667,0.916667,1,1,1,-7782.720378,-7127.827370,-6447.950732,-5929.029652,-5425.341993,-7413.880900,-8699.342608,-3632.285504,-671.271765 
15/03/2013 23:00,735308.958333,0.958333,1,1,1,-8930.886578,-7778.317478,-6532.591728,-5936.381590,-5430.708178,-7410.864630,-8698.600783,-3633.061657,-682.650893 
16/03/2013 00:00,735309.000000,1.000000,1,1,1,-10225.962262,-8476.362526,-6657.639933,-5945.925721,-5436.065224,-7407.872405,-8697.857654,-3633.838006,-693.749108 
16/03/2013 01:00,735309.041667,1.041667,1,1,1,-16472.260722,-8641.708923,-6775.585743,-5957.456180,-5441.420301,-7404.904028,-8697.113231,-3634.614538,-704.583495 
16/03/2013 02:00,735309.083333,1.083333,1,1,1,-44838.783195,-8316.604361,-6853.263120,-5970.147447,-5446.777840,-7401.959321,-8696.367526,-3635.391240,-715.169517 
16/03/2013 03:00,735309.125000,1.125000,1,1,1,-157144.348708,-8044.434352,-6901.915190,-5983.413151,-5452.140029,-7399.038124,-8695.620550,-3636.168101,-725.521223 
16/03/2013 04:00,735309.166667,1.166667,1,1,1,-276001.909415,-8625.777215,-6982.828223,-5997.832688,-5457.510418,-7396.140287,-8694.872313,-3636.945109,-735.651414 
16/03/2013 05:00,735309.208333,1.208333,1,1,1,-331327.067299,-9419.708371,-7104.088861,-6014.111657,-5462.894731,-7393.265674,-8694.122827,-3637.722254,-745.571800 
16/03/2013 06:00,735309.250000,1.250000,1,1,1,-349931.722176,-10235.462923,-7258.830499,-6032.796831,-5468.300327,-7390.414172,-8693.372103,-3638.499526,-755.293119 
16/03/2013 07:00,735309.291667,1.291667,1,1,1,-345755.263159,-10959.412541,-7433.507896,-6054.157062,-5473.735197,-7387.585693,-8692.620152,-3639.276915,-764.825244 
16/03/2013 08:00,735309.333333,1.333333,1,1,1,-292137.481166,-11292.441743,-7599.906326,-6077.925389,-5479.206210,-7384.780173,-8691.866985,-3640.054413,-774.177283 
16/03/2013 09:00,735309.375000,1.375000,1,1,1,-53608.906645,-10225.160012,-7684.543320,-6102.502938,-5484.715156,-7381.997564,-8691.112613,-3640.832010,-783.357651 
16/03/2013 10:00,735309.416667,1.416667,1,1,1,-6482.058367,-9224.425454,-7708.312083,-6126.749230,-5490.259953,-7379.237821,-8690.357048,-3641.609699,-792.374147 
16/03/2013 11:00,735309.458333,1.458333,1,1,1,-5108.686524,-5118.587887,-7521.210418,-6146.889559,-5495.827814,-7376.500881,-8689.600299,-3642.387472,-801.234011 
16/03/2013 12:00,735309.500000,1.500000,1,1,1,-5163.323247,-5126.961395,-6544.710224,-6149.043938,-5501.367592,-7373.786604,-8688.842380,-3643.165321,-809.943978 
16/03/2013 13:00,735309.541667,1.541667,1,1,1,-5561.737771,-5565.585772,-6376.637938,-6148.198167,-5506.867344,-7371.094735,-8688.083300,-3643.943238,-818.510327 
16/03/2013 14:00,735309.583333,1.583333,1,1,1,-5849.838716,-5840.738792,-6289.715939,-6146.250915,-5512.323550,-7368.424988,-8687.323070,-3644.721218,-826.938923 
16/03/2013 15:00,735309.625000,1.625000,1,1,1,-6038.844904,-6019.472851,-6246.403147,-6143.426306,-5517.733654,-7365.777073,-8686.561703,-3645.499253,-835.235252 
16/03/2013 16:00,735309.666667,1.666667,1,1,1,-6154.965236,-6130.672715,-6226.830978,-6140.177327,-5523.096366,-7363.150692,-8685.799207,-3646.277337,-843.404454 
16/03/2013 17:00,735309.708333,1.708333,1,1,1,-6225.339573,-6198.196303,-6218.637394,-6136.781471,-5528.411283,-7360.545548,-8685.035594,-3647.055465,-851.451355 
16/03/2013 18:00,735309.750000,1.750000,1,1,1,-6269.117003,-6239.936164,-6215.978606,-6133.403889,-5533.678566,-7357.961346,-8684.270875,-3647.833629,-859.380490 
16/03/2013 19:00,735309.791667,1.791667,1,1,1,-6298.222588,-6267.566891,-6216.739304,-6130.155601,-5538.898774,-7355.397796,-8683.505059,-3648.611824,-867.196129 
16/03/2013 20:00,735309.833333,1.833333,1,1,1,-6319.714550,-6287.769571,-6219.753889,-6127.108252,-5544.072744,-7352.854615,-8682.738158,-3649.390046,-874.902294 
16/03/2013 21:00,735309.875000,1.875000,1,1,1,-6336.700675,-6303.633133,-6223.903603,-6124.295394,-5549.201463,-7350.331525,-8681.970181,-3650.168288,-882.502786 
16/03/2013 22:00,735309.916667,1.916667,1,1,1,-6350.594029,-6316.746488,-6228.638302,-6121.729554,-5554.285993,-7347.828258,-8681.201138,-3650.946546,-890.001193 
16/03/2013 23:00,735309.958333,1.958333,1,1,1,-6717.705789,-6496.991041,-6245.123609,-6119.615891,-5559.327999,-7345.344550,-8680.431039,-3651.724815,-897.400910 
17/03/2013 00:00,735310.000000,2.000000,1,1,1,-7091.524537,-6733.380093,-6279.590174,-6118.272886,-5564.330139,-7342.880151,-8679.659895,-3652.503089,-904.705156 
17/03/2013 01:00,735310.041667,2.041667,1,1,1,-7488.189880,-6997.603339,-6330.361098,-6117.961296,-5569.295951,-7340.434822,-8678.887714,-3653.281365,-911.916980 
17/03/2013 02:00,735310.083333,2.083333,1,1,1,-7936.922584,-7288.769708,-6397.074400,-6118.885961,-5574.229668,-7338.008336,-8678.114507,-3654.059638,-919.039278 
17/03/2013 03:00,735310.125000,2.125000,1,1,1,-8424.483147,-7599.768033,-6478.716649,-6121.184797,-5579.136001,-7335.600486,-8677.340283,-3654.837903,-926.074802 
17/03/2013 04:00,735310.166667,2.166667,1,1,1,-8939.539551,-7922.552965,-6573.157241,-6125.183799,-5584.020637,-7333.211078,-8676.565051,-3655.616157,-933.026169 
17/03/2013 05:00,735310.208333,2.208333,1,1,1,-9492.409023,-8207.944207,-6675.195508,-6130.952380,-5588.889552,-7330.839941,-8675.788821,-3656.394395,-939.895871 
17/03/2013 06:00,735310.250000,2.250000,1,1,1,-11549.236054,-8203.395012,-6763.036121,-6138.182093,-5593.747799,-7328.486919,-8675.011602,-3657.172613,-946.686282 
17/03/2013 07:00,735310.291667,2.291667,1,1,1,-15173.931850,-8065.067571,-6830.068871,-6146.453181,-5598.599043,-7326.151872,-8674.233404,-3657.950808,-953.399668 
17/03/2013 08:00,735310.333333,2.333333,1,1,1,-13252.639605,-7954.662988,-6881.532335,-6155.452507,-5603.445832,-7323.834671,-8673.454235,-3658.728976,-960.038190 
17/03/2013 09:00,735310.375000,2.375000,1,1,1,-6868.432130,-7725.118950,-6913.183918,-6164.801253,-5608.289466,-7321.535195,-8672.674105,-3659.507113,-966.603912 
17/03/2013 10:00,735310.416667,2.416667,1,1,1,-4978.751506,-6208.504478,-6847.382261,-6172.749296,-5613.126151,-7319.253321,-8671.893024,-3660.285216,-973.098811 
17/03/2013 11:00,735310.458333,2.458333,1,1,1,-5006.851719,-5060.597345,-6687.668761,-6177.672939,-5617.946981,-7316.988916,-8671.111000,-3661.063282,-979.524776 
17/03/2013 12:00,735310.500000,2.500000,1,1,1,-5458.704095,-5490.293845,-6495.066096,-6179.083620,-5622.741219,-7314.741818,-8670.328042,-3661.841306,-985.883614 
17/03/2013 13:00,735310.541667,2.541667,1,1,1,-5748.265144,-5758.368241,-6393.584239,-6179.064414,-5627.503830,-7312.511847,-8669.544159,-3662.619287,-992.177060 
17/03/2013 14:00,735310.583333,2.583333,1,1,1,-5951.050057,-5944.801458,-6334.892168,-6178.031629,-5632.231621,-7310.298808,-8668.759360,-3663.397220,-998.406776 
17/03/2013 15:00,735310.625000,2.625000,1,1,1,-6097.360869,-6080.023490,-6301.188797,-6176.372525,-5636.922575,-7308.102503,-8667.973655,-3664.175103,-1004.574356 
17/03/2013 16:00,735310.666667,2.666667,1,1,1,-6191.098455,-6169.371706,-6281.932831,-6174.357933,-5641.575571,-7305.922729,-8667.187052,-3664.952932,-1010.681332 
17/03/2013 17:00,735310.708333,2.708333,1,1,1,-6253.949281,-6228.756701,-6271.820475,-6172.183767,-5646.190157,-7303.759283,-8666.399559,-3665.730706,-1016.729174 
17/03/2013 18:00,735310.750000,2.750000,1,1,1,-6296.954308,-6269.230589,-6267.186604,-6169.983358,-5650.766367,-7301.611963,-8665.611185,-3666.508420,-1022.719297 
17/03/2013 19:00,735310.791667,2.791667,1,1,1,-6328.134263,-6298.485727,-6266.316440,-6167.851722,-5655.304591,-7299.480570,-8664.821939,-3667.286073,-1028.653061 
17/03/2013 20:00,735310.833333,2.833333,1,1,1,-6351.884623,-6320.696652,-6267.720306,-6165.847613,-5659.805456,-7297.364909,-8664.031829,-3668.063661,-1034.531774 
17/03/2013 21:00,735310.875000,2.875000,1,1,1,-6371.601123,-6338.729738,-6270.516704,-6164.004720,-5664.269734,-7295.264789,-8663.240863,-3668.841183,-1040.356696 
17/03/2013 22:00,735310.916667,2.916667,1,1,1,-6756.800245,-6528.321263,-6285.890936,-6162.539403,-5668.698844,-7293.180025,-8662.449050,-3669.618634,-1046.129043 
17/03/2013 23:00,735310.958333,2.958333,1,1,1,-7125.937474,-6767.086993,-6318.552636,-6161.751733,-5673.095163,-7291.110437,-8661.656398,-3670.396014,-1051.849984 
18/03/2013 00:00,735311.000000,3.000000,1,1,1,-7496.450173,-7021.316560,-6366.444817,-6161.881674,-5677.461902,-7289.055857,-8660.862915,-3671.173319,-1057.520649 
18/03/2013 01:00,735311.041667,3.041667,1,1,1,-7875.793303,-7280.899899,-6427.816778,-6163.098200,-5681.802868,-7287.016127,-8660.068609,-3671.950547,-1063.142127 
18/03/2013 02:00,735311.083333,3.083333,1,1,1,-8249.850535,-7537.081352,-6500.419224,-6165.495151,-5686.122211,-7284.991101,-8659.273487,-3672.727696,-1068.715469 
18/03/2013 03:00,735311.125000,3.125000,1,1,1,-8612.151306,-7785.467852,-6581.966700,-6169.099339,-5690.424183,-7282.980644,-8658.477559,-3673.504764,-1074.241691 
18/03/2013 04:00,735311.166667,3.166667,1,1,1,-8969.479889,-8027.487217,-6669.579200,-6174.384592,-5694.714373,-7280.984637,-8657.680830,-3674.281747,-1079.721775 
18/03/2013 05:00,735311.208333,3.208333,1,1,1,-9604.589159,-8210.062659,-6758.335276,-6181.136231,-5698.997909,-7279.002975,-8656.883311,-3675.058645,-1085.156669 
18/03/2013 06:00,735311.250000,3.250000,1,1,1,-11501.107548,-8193.868678,-6834.709270,-6189.089331,-5703.278987,-7277.035566,-8656.085007,-3675.835455,-1090.547290 
18/03/2013 07:00,735311.291667,3.291667,1,1,1,-14603.713981,-8075.385499,-6894.060391,-6197.904134,-5707.560629,-7275.082329,-8655.285928,-3676.612175,-1095.894527 
18/03/2013 08:00,735311.333333,3.333333,1,1,1,-16630.618060,-7946.305748,-6938.332577,-6207.286039,-5711.844801,-7273.143189,-8654.486079,-3677.388802,-1101.199238 
