Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
15/03/2013 00:00,735308.000000,0.000000,0,1,1,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
15/03/2013 01:00,735308.041667,0.041667,1,1,1,-0.033677,2.201740,3.906175,3.998930,3.999998,4.000000,4.000000,4.000000,4.000000 
15/03/2013 02:00,735308.083333,0.083333,1,1,1,-0.098356,1.358846,3.773415,3.996361,3.999990,4.000000,4.000000,4.000000,4.000000 
15/03/2013 03:00,735308.125000,0.125000,1,1,1,-0.146426,0.892998,3.626699,3.992156,3.999974,4.000000,4.000000,4.000000,4.000000 
15/03/2013 04:00,735308.166667,0.166667,1,1,1,-0.197649,0.608949,3.476784,3.986305,3.999947,4.000000,4.000000,4.000000,4.000000 
15/03/2013 05:00,735308.208333,0.208333,1,1,1,-0.259487,0.409665,3.328109,3.978852,3.999904,4.000000,4.000000,4.000000,4.000000 
15/03/2013 06:00,735308.250000,0.250000,1,1,1,-0.657549,0.083897,3.172816,3.969745,3.999843,4.000000,4.000000,4.000000,4.000000 
15/03/2013 07:00,735308.291667,0.291667,1,1,1,-1.632859,-0.076597,3.018385,3.959017,3.999760,4.000000,4.000000,4.000000,4.000000 
15/03/2013 08:00,735308.333333,0.333333,1,1,1,-1.971489,-0.081289,2.872220,3.946789,3.999652,4.000000,4.000000,4.000000,4.000000 
15/03/2013 09:00,735308.375000,0.375000,1,1,1,-0.477808,-0.075295,2.736281,3.933202,3.999517,3.999999,4.000000,4.000000,4.000000 
15/03/2013 10:00,735308.416667,0.416667,1,1,1,-0.058667,-0.069620,2.610741,3.918393,3.999353,3.999999,4.000000,4.000000,4.000000 
15/03/2013 11:00,735308.458333,0.458333,1,1,1,1.147908,-0.061111,2.496149,3.902502,3.999157,3.999999,4.000000,4.000000,4.000000 
15/03/2013 12:00,735308.500000,0.500000,1,1,1,15.451925,6.116190,2.727204,3.889488,3.998934,3.999999,4.000000,4.000000,4.000000 
15/03/2013 13:00,735308.541667,0.541667,1,1,1,23.670559,12.942122,3.304842,3.883301,3.998700,3.999998,4.000000,4.000000,4.000000 
15/03/2013 14:00,735308.583333,0.583333,1,1,1,28.378889,18.276786,4.118231,3.886601,3.998473,3.999997,4.000000,4.000000,4.000000 
15/03/2013 15:00,735308.625000,0.625000,1,1,1,30.065767,21.651377,5.044979,3.900572,3.998276,3.999997,4.000000,4.000000,4.000000 
15/03/2013 16:00,735308.666667,0.666667,1,1,1,27.131879,22.175592,5.926887,3.924532,3.998127,3.999996,4.000000,4.000000,4.000000 
15/03/2013 17:00,735308.708333,0.708333,1,1,1,23.540327,21.038723,6.681277,3.956847,3.998045,3.999995,4.000000,4.000000,4.000000 
15/03/2013 18:00,735308.750000,0.750000,1,1,1,14.742019,16.937933,7.162578,3.994216,3.998039,3.999995,4.000000,4.000000,4.000000 
15/03/2013 19:00,735308.791667,0.791667,1,1,1,6.826766,11.740083,7.334308,4.032967,3.998111,3.999994,4.000000,4.000000,4.000000 
15/03/2013 20:00,735308.833333,0.833333,1,1,1,2.409492,7.423827,7.266555,4.070298,3.998260,3.999993,4.000000,4.000000,4.000000 
15/03/2013 21:00,735308.875000,0.875000,1,1,1,-0.057937,4.293627,7.039848,4.104389,3.998477,3.999993,4.000000,4.000000,4.000000 
15/03/2013 22:00,735308.916667,0.916667,1,1,1,-0.088275,2.684001,6.746344,4.134511,3.998755,3.999992,4.000000,4.000000,4.000000 
15/03/2013 23:00,735308.958333,0.958333,1,1,1,-0.122260,1.803590,6.430178,4.160457,3.999085,3.999992,4.000000,4.000000,4.000000 
16/03/2013 00:00,735309.000000,1.000000,1,1,1,-0.160694,1.287894,6.112061,4.182266,3.999459,3.999992,4.000000,4.000000,4.000000 
16/03/2013 01:00,735309.041667,1.041667,1,1,1,-0.213325,0.949411,5.800913,4.200086,3.999868,3.999992,4.000000,4.000000,4.000000 
16/03/2013 02:00,735309.083333,1.083333,1,1,1,-0.426450,0.630953,5.495958,4.214066,4.000304,3.999992,4.000000,4.000000,4.000000 
16/03/2013 03:00,735309.125000,1.125000,1,1,1,-1.427822,-0.066921,5.175961,4.224108,4.000759,3.999992,4.000000,4.000000,4.000000 
16/03/2013 04:00,735309.166667,1.166667,1,1,1,-2.524380,-0.073579,4.874641,4.230499,4.001226,3.999993,4.000000,4.000000,4.000000 
16/03/2013 05:00,735309.208333,1.208333,1,1,1,-3.017331,-0.082936,4.588931,4.233478,4.001698,3.999993,4.000000,4.000000,4.000000 
16/03/2013 06:00,735309.250000,1.250000,1,1,1,-3.155281,-0.092719,4.316999,4.233263,4.002168,3.999994,4.000000,4.000000,4.000000 
16/03/2013 07:00,735309.291667,1.291667,1,1,1,-3.081227,-0.101203,4.057980,4.230062,4.002630,3.999995,4.000000,4.000000,4.000000 
16/03/2013 08:00,735309.333333,1.333333,1,1,1,-2.560659,-0.104032,3.812582,4.224085,4.003079,3.999996,4.000000,4.000000,4.000000 
16/03/2013 09:00,735309.375000,1.375000,1,1,1,-0.460452,-0.088439,3.585714,4.215597,4.003509,3.999997,4.000000,4.000000,4.000000 
