Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
15/03/2013 00:00,735308.000000,0.000000,0,1,1,0.283140,0.207466,0.225270,0.239939,0.239343,0.203797,0.178250,0.195072,0.210000 
15/03/2013 01:00,735308.041667,0.041667,1,1,1,0.226975,0.221834,0.225613,0.239588,0.239268,0.203829,0.178255,0.195059,0.200107 
15/03/2013 02:00,735308.083333,0.083333,1,1,1,0.209512,0.216797,0.225534,0.239249,0.239191,0.203861,0.178260,0.195047,0.198392 
15/03/2013 03:00,735308.125000,0.125000,1,1,1,0.198770,0.210148,0.224918,0.238907,0.239114,0.203892,0.178264,0.195034,0.196913 
15/03/2013 04:00,735308.166667,0.166667,1,1,1,0.189247,0.203914,0.223831,0.238549,0.239036,0.203924,0.178269,0.195022,0.195603 
15/03/2013 05:00,735308.208333,0.208333,1,1,1,0.153607,0.204816,0.222994,0.238184,0.238957,0.203955,0.178273,0.195009,0.194424 
15/03/2013 06:00,735308.250000,0.250000,1,1,1,0.112666,0.207808,0.222522,0.237820,0.238878,0.203986,0.178278,0.194997,0.193349 
15/03/2013 07:00,735308.291667,0.291667,1,1,1,0.091297,0.206476,0.221998,0.237457,0.238797,0.204017,0.178283,0.194984,0.192358 
15/03/2013 08:00,735308.333333,0.333333,1,1,1,0.087766,0.203454,0.221291,0.237090,0.238716,0.204047,0.178287,0.194972,0.191439 
15/03/2013 09:00,735308.375000,0.375000,1,1,1,0.120666,0.206747,0.220917,0.236728,0.238634,0.204077,0.178292,0.194959,0.190581 
15/03/2013 10:00,735308.416667,0.416667,1,1,1,0.221453,0.211580,0.220891,0.236379,0.238552,0.204108,0.178297,0.194946,0.189775 
15/03/2013 11:00,735308.458333,0.458333,1,1,1,0.251111,0.250638,0.222703,0.236090,0.238469,0.204137,0.178301,0.194934,0.189015 
15/03/2013 12:00,735308.500000,0.500000,1,1,1,0.243641,0.242979,0.226212,0.235896,0.238386,0.204167,0.178306,0.194921,0.188297 
15/03/2013 13:00,735308.541667,0.541667,1,1,1,0.238132,0.237840,0.228029,0.235749,0.238303,0.204196,0.178311,0.194909,0.187614 
15/03/2013 14:00,735308.583333,0.583333,1,1,1,0.234791,0.234720,0.229091,0.235629,0.238220,0.204226,0.178315,0.194896,0.186964 
15/03/2013 15:00,735308.625000,0.625000,1,1,1,0.232724,0.232783,0.229717,0.235527,0.238138,0.204255,0.178320,0.194883,0.186344 
15/03/2013 16:00,735308.666667,0.666667,1,1,1,0.231479,0.231604,0.230088,0.235434,0.238056,0.204283,0.178325,0.194871,0.185750 
15/03/2013 17:00,735308.708333,0.708333,1,1,1,0.230718,0.230884,0.230314,0.235349,0.237974,0.204312,0.178330,0.194858,0.185181 
