RankingNmbr ParameterName RelativeImportance RelativeImportance.Norm
1           SOIL__N                              225.819260886293 0.686548778946251
2           SOIL__ThetaSat                       61.8634645816918 0.188080883372173
3           SOIL__ThetaRes                       25.0330519287432 0.076106932453519
4           SCALAR__SoilEmissiv                  7.87439830234424 0.0239402011953844
5           SCALAR__MinStomatalRes               4.1646474316858 0.0126616020163366
6           SOIL__NormalHydrConductivity_V_L0004 4.1646474316858 0.0126616020163366
32          SOIL__Alpha                          0 0
32          SOIL__LateralHydrConductivity        0 0
32          SCALAR__SoilRoughness                0 0
32          SCALAR__LSAI                         0 0
32          SCALAR__CanopyFraction               0 0
32          SCALAR__DecayCoeffCanopy             0 0
32          SCALAR__RootDepth                    0 0
32          SCALAR__VegReflectVis                0 0
32          SCALAR__VegReflNIR                   0 0
32          SCALAR__VegTransVis                  0 0
32          SCALAR__VegTransNIR                  0 0
32          SCALAR__LeafAngles                   0 0
32          SCALAR__CanDensSurface               0 0
32          SCALAR__SoilAlbVisDry                0 0
32          SCALAR__SoilAlbNIRDry                0 0
32          SCALAR__SoilAlbVisWet                0 0
32          SCALAR__SoilAlbNIRWet                0 0
32          SCALAR__CanopyMaxIter                0 0
32          SOIL__NormalHydrConductivity_V_L0001 0 0
32          SOIL__NormalHydrConductivity_V_L0002 0 0
32          SOIL__NormalHydrConductivity_V_L0003 0 0
32          SOIL__NormalHydrConductivity_V_L0005 0 0
32          SOIL__NormalHydrConductivity_V_L0006 0 0
32          SOIL__NormalHydrConductivity_V_L0007 0 0
32          SOIL__NormalHydrConductivity_V_L0008 0 0
32          SOIL__NormalHydrConductivity_V_L0009 0 0
