RankingNmbr ParameterName RelativeImportance RelativeImportance.Norm
1           SCALAR__SoilRoughness                137.922000743512 0.662469907503065
2           SOIL__N                              19.6130018763098 0.0942055906150825
3           SCALAR__MinStomatalRes               14.2415573183028 0.0684053530872193
4           SOIL__ThetaSat                       7.23375988956479 0.0347453504089687
5           SCALAR__VegReflNIR                   6.89173875962283 0.0331025471934172
6           SCALAR__VegTransNIR                  4.58162174958739 0.0220065437007951
7           SCALAR__SoilEmissiv                  3.05335965515651 0.0146659624818434
8           SCALAR__VegReflectVis                2.89568655044821 0.0139086236488165
9           SCALAR__VegTransVis                  1.88263774429425 0.00904272592915573
10          SCALAR__CanDensSurface               1.79789191974339 0.00863567296988285
11          SCALAR__LeafAngles                   1.54199682637758 0.00740655217756062
12          SOIL__Alpha                          1.37882337140723 0.00662279394436773
13          SCALAR__SoilAlbVisDry                1.20177543075101 0.00577239348441316
14          SCALAR__SoilAlbNIRDry                1.08264507982582 0.0052001840317314
15          SOIL__ThetaRes                       0.923630104582558 0.00443639989741547
16          SCALAR__SoilAlbVisWet                0.502871870762224 0.00241540493839896
17          SOIL__NormalHydrConductivity_V_L0003 0.335769521976366 0.00161277535829609
18          SCALAR__SoilAlbNIRWet                0.331705133303458 0.00159325319958549
19          SOIL__NormalHydrConductivity_V_L0002 0.254537201957638 0.00122259853923195
20          SOIL__NormalHydrConductivity_V_L0004 0.222470931484599 0.00106857714221243
21          SOIL__NormalHydrConductivity_V_L0005 0.189503392972184 0.000910226755245972
22          SOIL__NormalHydrConductivity_V_L0001 0.0666717625852923 0.000320239237792688
23          SOIL__NormalHydrConductivity_V_L0006 0.040748951328117 0.000195726235637967
24          SOIL__NormalHydrConductivity_V_L0007 0.00699635119414816 3.36050238791531e-05
25          SOIL__NormalHydrConductivity_V_L0008 0.000206631320787413 9.92495984914236e-07
32          SOIL__LateralHydrConductivity        0 0
32          SCALAR__LSAI                         0 0
32          SCALAR__CanopyFraction               0 0
32          SCALAR__DecayCoeffCanopy             0 0
32          SCALAR__RootDepth                    0 0
32          SCALAR__CanopyMaxIter                0 0
32          SOIL__NormalHydrConductivity_V_L0009 0 0
