Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,Prain_below_canopy[mm],Psnow_below_canopy[mm],Prain_above_canopy[mm],Prain_above_canopy[mm],Pnet[mm],Tair[C],Tsurface[C],Tvegetation[C],Evap_surface[mm],Transpiration_canopy[mm],LE[W/m2],H[W/m2],SW[W/m2],LW[W/m2],LEv[W/m2],Hv[W/m2],SWv[W/m2],LWv[W/m2],SWin[W/m2],LWin[W/m2],Mass_balance_error[mm],Mean_Time_Step[s]
09/04/2014 19:00,735698.791667,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.460000,3.524172,1.649302,0.001507,0.000291,1.043420,0.368309,0.126921,-9.180228,0.201572,-27.834267,3.600175,-25.329094,4.130017,287.867723,0.000018,900.000000
09/04/2014 20:00,735698.833333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.250000,3.317381,1.809456,0.001418,0.000000,0.981891,0.225282,0.000000,-7.488054,0.000000,-26.163876,0.000000,-26.449197,0.000000,289.579067,0.000016,900.000000
09/04/2014 21:00,735698.875000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.040000,3.173420,1.740749,0.001360,0.000000,0.942092,0.201407,0.000000,-7.117284,0.000000,-25.574529,0.000000,-25.763333,0.000000,290.379672,0.000003,900.000000
09/04/2014 22:00,735698.916667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.870000,3.030975,1.554615,0.001395,0.000000,0.966325,0.222903,0.000000,-7.318532,0.000000,-25.679549,0.000000,-26.352050,0.000000,288.697988,0.000161,900.000000
09/04/2014 23:00,735698.958333,0.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.660002,2.895356,1.393502,0.001391,0.000000,0.963318,0.242345,0.000000,-7.418636,0.000000,-25.515629,0.000000,-25.984825,0.000000,288.218393,0.000045,900.000000
10/04/2014 00:00,735699.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.670000,2.780309,1.294670,0.001357,0.000000,0.939975,0.220931,0.000000,-7.339216,0.000000,-25.939915,0.000000,-26.211978,0.000000,287.635440,0.000014,900.000000
10/04/2014 01:00,735699.041667,0.291667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.550000,2.648056,1.047426,0.001434,0.000000,0.993914,0.266552,0.000000,-7.877543,0.000000,-26.524690,0.000000,-27.420813,0.000000,284.679370,0.000006,900.000000
10/04/2014 02:00,735699.083333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.590003,2.528957,0.912601,0.001401,0.000000,0.970971,0.254199,0.000000,-7.941552,0.000000,-27.227763,0.000000,-27.546393,0.000000,283.885255,0.000003,900.000000
10/04/2014 03:00,735699.125000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.990000,2.447639,0.918084,0.001325,0.000000,0.918231,0.168099,0.000000,-7.557477,0.000000,-28.729205,0.000000,-28.633283,0.000000,283.268965,0.000002,900.000000
10/04/2014 04:00,735699.166667,0.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.690000,2.373405,0.867159,0.001319,0.000000,0.914403,0.182272,0.000000,-7.433439,0.000000,-27.744711,0.000000,-27.964062,0.000000,283.829434,0.000001,900.000000
