Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,-4819.969873,-4781.332840,-4636.443966,-4288.710669,-3477.332975,-1448.888739,2414.814566,10625.184089,29943.700615 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,-4820.052094,-4781.413892,-4636.499471,-4288.710754,-3477.333058,-1449.284442,-23.881591,3646.385749,14289.517977 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,-4820.051521,-4781.413052,-4636.499433,-4288.710882,-3477.333210,-1449.741454,-58.193293,-9.755680,3976.086067 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,-4820.050875,-4781.412267,-4636.499387,-4288.711011,-3477.333464,-1450.203066,-80.846331,-23.034763,-6.976884 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,-4820.050194,-4781.411523,-4636.499336,-4288.711139,-3477.333821,-1450.667914,-98.447055,-32.460549,-12.159102 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,-4820.049502,-4781.410811,-4636.499279,-4288.711267,-3477.334282,-1451.135349,-113.249202,-40.285600,-16.324831 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,-4820.048811,-4781.410126,-4636.499216,-4288.711395,-3477.334847,-1451.604969,-126.207139,-47.179907,-20.006957 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,-4820.048129,-4781.409463,-4636.499148,-4288.711523,-3477.335517,-1452.076491,-137.832914,-53.431382,-23.376644 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,-4820.047459,-4781.408820,-4636.499076,-4288.711652,-3477.336292,-1452.549703,-148.439236,-59.198619,-26.517496 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,-4820.046804,-4781.408197,-4636.498999,-4288.711780,-3477.337171,-1453.024438,-158.233665,-64.581404,-29.478786 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,-4820.046164,-4781.407591,-4636.498917,-4288.711909,-3477.338157,-1453.500563,-167.362267,-69.647974,-32.292909 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,-4820.045539,-4781.407001,-4636.498831,-4288.712038,-3477.339248,-1453.977963,-175.932406,-74.447749,-34.982750 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,-4820.089099,-4781.450056,-4636.528486,-4288.712185,-3477.340445,-1454.456543,-184.025707,-79.018039,-37.565322 
