Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,3.654853,3.917885,3.998509,3.999995,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,3.425962,3.758382,3.991725,3.999953,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,3.276576,3.611758,3.979541,3.999829,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,3.137214,3.481597,3.962905,3.999586,3.999999,4.000000,4.000000,4.000000,4.000000 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,3.003051,3.360223,3.942468,3.999194,3.999999,4.000000,4.000000,4.000000,4.000000 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,2.886453,3.248606,3.918771,3.998626,3.999997,4.000000,4.000000,4.000000,4.000000 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,2.762166,3.143140,3.892307,3.997861,3.999994,4.000000,4.000000,4.000000,4.000000 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,2.643425,3.038549,3.863278,3.996880,3.999991,4.000000,4.000000,4.000000,4.000000 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,2.555577,2.944047,3.832054,3.995666,3.999986,4.000000,4.000000,4.000000,4.000000 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,2.479924,2.862764,3.799248,3.994208,3.999979,4.000000,4.000000,4.000000,4.000000 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,2.411538,2.790190,3.765318,3.992498,3.999969,4.000000,4.000000,4.000000,4.000000 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,2.359347,2.726609,3.730644,3.990532,3.999958,4.000000,4.000000,4.000000,4.000000 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,2.605503,2.733351,3.696613,3.988313,3.999943,4.000000,4.000000,4.000000,4.000000 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,3.693290,3.039066,3.670886,3.985880,3.999925,4.000000,4.000000,4.000000,4.000000 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,5.785785,3.894267,3.670564,3.983384,3.999904,4.000000,4.000000,4.000000,4.000000 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,8.368186,5.284138,3.715432,3.981131,3.999880,4.000000,4.000000,4.000000,4.000000 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,11.138903,7.062267,3.819916,3.979554,3.999853,4.000000,4.000000,4.000000,4.000000 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,13.905952,9.064229,3.991558,3.979165,3.999825,4.000000,4.000000,4.000000,4.000000 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,15.346062,10.873191,4.226967,3.980476,3.999798,4.000000,4.000000,4.000000,4.000000 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,14.191277,11.704904,4.497147,3.983846,3.999775,4.000000,4.000000,4.000000,4.000000 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,12.917804,11.590846,4.759555,3.989308,3.999758,4.000000,4.000000,4.000000,4.000000 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,12.392210,11.255923,4.996906,3.996672,3.999750,4.000000,4.000000,4.000000,4.000000 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,11.432607,10.832026,5.207837,4.005709,3.999753,4.000000,4.000000,4.000000,4.000000 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,10.121390,10.145460,5.385275,4.016157,3.999770,4.000000,4.000000,4.000000,4.000000 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,8.895341,9.319467,5.523759,4.027706,3.999802,4.000000,4.000000,4.000000,4.000000 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,7.895415,8.490575,5.623425,4.040029,3.999851,4.000000,4.000000,4.000000,4.000000 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,7.176606,7.764645,5.688921,4.052831,3.999916,3.999999,4.000000,4.000000,4.000000 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,6.603684,7.166250,5.726843,4.065868,3.999998,3.999999,4.000000,4.000000,4.000000 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,6.074858,6.655760,5.742583,4.078945,4.000099,3.999999,4.000000,4.000000,4.000000 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,5.593251,6.203409,5.739853,4.091905,4.000216,4.000000,4.000000,4.000000,4.000000 
11/04/2014 01:00,735700.041667,1.291667,1,1,1,5.178414,5.803005,5.721646,4.104617,4.000351,4.000000,4.000000,4.000000,4.000000 
11/04/2014 02:00,735700.083333,1.333333,1,1,1,4.806836,5.448501,5.690635,4.116975,4.000502,4.000000,4.000000,4.000000,4.000000 
11/04/2014 03:00,735700.125000,1.375000,1,1,1,4.493730,5.134835,5.649060,4.128892,4.000670,4.000000,4.000000,4.000000,4.000000 
11/04/2014 04:00,735700.166667,1.416667,1,1,1,4.225904,4.862229,5.599059,4.140300,4.000853,4.000000,4.000000,4.000000,4.000000 
11/04/2014 05:00,735700.208333,1.458333,1,1,1,4.031652,4.632206,5.542599,4.151148,4.001050,4.000000,4.000000,4.000000,4.000000 
