Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,0.236337,0.236884,0.238989,0.244418,0.259702,0.333022,0.510000,0.510000,0.510000 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,0.236336,0.236883,0.238988,0.244418,0.259702,0.332997,0.508071,0.510000,0.510000 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,0.236336,0.236883,0.238988,0.244418,0.259702,0.332969,0.503443,0.509445,0.510000 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,0.236336,0.236883,0.238988,0.244418,0.259702,0.332940,0.499803,0.508165,0.509653 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,0.236336,0.236883,0.238988,0.244418,0.259702,0.332911,0.496775,0.507051,0.509246 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,0.236336,0.236883,0.238988,0.244418,0.259702,0.332882,0.494131,0.506030,0.508863 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,0.236336,0.236883,0.238988,0.244418,0.259702,0.332853,0.491761,0.505071,0.508491 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,0.236336,0.236883,0.238988,0.244418,0.259702,0.332823,0.489602,0.504161,0.508127 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,0.236336,0.236883,0.238988,0.244418,0.259702,0.332794,0.487612,0.503289,0.507770 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,0.236336,0.236883,0.238988,0.244418,0.259702,0.332765,0.485760,0.502452,0.507418 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,0.236336,0.236883,0.238988,0.244418,0.259702,0.332735,0.484025,0.501645,0.507072 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,0.236336,0.236883,0.238988,0.244418,0.259702,0.332705,0.482391,0.500865,0.506730 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,0.236335,0.236882,0.238988,0.244418,0.259702,0.332676,0.480845,0.500109,0.506394 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,0.236296,0.236843,0.238960,0.244418,0.259702,0.332646,0.479376,0.499375,0.506061 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,0.236074,0.236621,0.238802,0.244417,0.259702,0.332616,0.477976,0.498662,0.505733 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,0.235364,0.235915,0.238297,0.244416,0.259702,0.332586,0.476638,0.497967,0.505410 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,0.234097,0.234654,0.237392,0.244413,0.259702,0.332556,0.475356,0.497290,0.505090 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,0.232404,0.232972,0.236179,0.244407,0.259702,0.332526,0.474125,0.496630,0.504774 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,0.230546,0.231126,0.234842,0.244397,0.259702,0.332497,0.472940,0.495985,0.504462 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,0.228743,0.229336,0.233536,0.244384,0.259702,0.332467,0.471797,0.495354,0.504153 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,0.227726,0.228331,0.232781,0.244368,0.259702,0.332436,0.470695,0.494737,0.503848 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,0.227354,0.227969,0.232481,0.244350,0.259702,0.332406,0.469628,0.494134,0.503547 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,0.226922,0.227545,0.232137,0.244332,0.259701,0.332376,0.468596,0.493542,0.503248 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,0.226730,0.227359,0.231962,0.244314,0.259701,0.332346,0.467595,0.492962,0.502953 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,0.226692,0.227324,0.231895,0.244295,0.259701,0.332316,0.466623,0.492393,0.502661 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,0.226755,0.227391,0.231901,0.244276,0.259701,0.332286,0.465680,0.491835,0.502372 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,0.226827,0.227466,0.231915,0.244257,0.259701,0.332256,0.464762,0.491287,0.502086 
