Date12.DDMMYYYYhhmm.,rainfall_amount,wind_speed,wind_from_direction,relative_humidity,air_temperature,surface_downwelling_shortwave_flux,soil_moisture_content_50,soil_moisture_content_200,latent_heat_flux_in_air,sensible_heat_flux_in_air
02/10/2009 00:00,0,3.53,7.33,0.3793,13.58,0,-9999,-9999,-9999,-9999
02/10/2009 01:00,0,3.91,6.99,0.3763,13.01,0,-9999,-9999,-9999,-9999
02/10/2009 02:00,0,3.49,11.28,0.4046,12.36,0,-9999,-9999,-9999,-9999
02/10/2009 03:00,0,3.82,95.46,0.4168,12.07,0,-9999,-9999,-9999,-9999
02/10/2009 04:00,0,3.67,6.48,0.4256,11.61,0,-9999,-9999,-9999,-9999
02/10/2009 05:00,0,3.25,98.09,0.4128,11.13,0,-9999,-9999,-9999,-9999
02/10/2009 06:00,0,2.64,25.27,0.43,10.44,0,-9999,-9999,-9999,-9999
02/10/2009 07:00,0,3.09,27.17,0.438,10.07,5.96,-9999,-9999,-9999,-9999
02/10/2009 08:00,0,2.37,7.6,0.4388,10.65,32.41,-9999,-9999,-9999,-9999
02/10/2009 09:00,0,3.18,347.5,0.417,11.47,197.32,-9999,-9999,-9999,-9999
02/10/2009 10:00,0,3.73,337.47,0.3909,12.38,396.02,-9999,-9999,-9999,-9999
02/10/2009 11:00,0,3.51,349.7,0.3584,13.12,500.07,-9999,-9999,-9999,-9999
02/10/2009 12:00,0,3.63,339.75,0.3145,13.96,564.02,-9999,-9999,-9999,-9999
02/10/2009 13:00,0,2.75,328.48,0.305,15.04,580.02,-9999,-9999,-9999,-9999
02/10/2009 14:00,0,2.74,311.28,0.302,15.76,543.85,-9999,-9999,-9999,-9999
02/10/2009 15:00,0,3.13,305.43,0.2825,16.49,467.18,-9999,-9999,-9999,-9999
02/10/2009 16:00,0,3.65,336.96,0.2821,15.96,344.57,-9999,-9999,-9999,-9999
02/10/2009 17:00,0,4.82,347.98,0.2906,15.26,198.8,-9999,-9999,-9999,-9999
02/10/2009 18:00,0,5.45,348.78,0.3241,13.74,48.53,-9999,-9999,-9999,-9999
02/10/2009 19:00,0,5.74,354.54,0.3526,12.57,2.39,-9999,-9999,-9999,-9999
02/10/2009 20:00,0,5.27,269.23,0.3738,12.07,0,-9999,-9999,-9999,-9999
02/10/2009 21:00,0,5.41,267.61,0.3973,11.47,0,-9999,-9999,-9999,-9999
02/10/2009 22:00,0,2.79,179.28,0.3995,10.85,0,-9999,-9999,-9999,-9999
