Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,Prain_below_canopy[mm],Psnow_below_canopy[mm],Prain_above_canopy[mm],Prain_above_canopy[mm],Pnet[mm],Tair[C],Tsurface[C],Tvegetation[C],Evap_surface[mm],Transpiration_canopy[mm],LE[W/m2],H[W/m2],SW[W/m2],LW[W/m2],LEv[W/m2],Hv[W/m2],SWv[W/m2],LWv[W/m2],SWin[W/m2],LWin[W/m2],Mass_balance_error[mm],Mean_Time_Step[s]
09/04/2014 19:00,735698.791667,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.460000,2.906706,1.363974,0.004823,0.000193,3.339988,-3.667940,1.982653,-22.003283,0.134213,-18.942905,3.729920,-21.039713,5.017116,287.867723,0.000000,900.000000
09/04/2014 20:00,735698.833333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.250000,2.286034,0.955401,0.003796,0.000000,2.630867,-4.160838,0.000000,-19.394559,0.000000,-18.990660,0.000000,-19.431608,0.000000,289.579067,0.000000,900.000000
09/04/2014 21:00,735698.875000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.040000,1.955007,0.765795,0.003293,0.000000,2.282980,-4.354234,0.000000,-17.983903,0.000000,-18.709051,0.000000,-18.884472,0.000000,290.379672,0.000000,900.000000
09/04/2014 22:00,735698.916667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.870000,1.657564,0.486142,0.003220,0.000000,2.233161,-4.465874,0.000000,-18.036709,0.000000,-18.975921,0.000000,-19.334984,0.000000,288.697988,0.000000,900.000000
09/04/2014 23:00,735698.958333,0.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.660002,1.413897,0.278475,0.003050,0.000000,2.115468,-4.513747,0.000000,-17.633738,0.000000,-18.935855,0.000000,-19.170942,0.000000,288.218393,0.000000,900.000000
10/04/2014 00:00,735699.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.670000,1.217852,0.134877,0.002881,0.000000,1.998616,-4.706382,0.000000,-17.337140,0.000000,-19.244198,0.000000,-19.407889,0.000000,287.635440,0.000000,900.000000
10/04/2014 01:00,735699.041667,0.291667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.550000,0.968296,-0.185890,0.003061,0.000000,2.124059,-4.755963,0.000000,-18.259536,0.000000,-19.880503,0.000000,-20.313129,0.000000,284.679370,0.000000,900.000000
10/04/2014 02:00,735699.083333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.590003,0.771263,-0.355287,0.002930,0.000000,2.033167,-4.948083,0.000000,-18.103132,0.000000,-20.362831,0.000000,-20.539128,0.000000,283.885255,0.000000,900.000000
10/04/2014 03:00,735699.125000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.990000,0.633784,-0.401088,0.002765,0.000000,1.919385,-5.402224,0.000000,-17.837652,0.000000,-21.338985,0.000000,-21.374179,0.000000,283.268965,0.000000,900.000000
10/04/2014 04:00,735699.166667,0.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.690000,0.521807,-0.470171,0.002602,0.000000,1.806438,-5.275517,0.000000,-17.233148,0.000000,-20.754488,0.000000,-20.853998,0.000000,283.829434,0.000000,900.000000
10/04/2014 05:00,735699.208333,0.458333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.899991,0.414838,-0.532100,0.002547,0.000000,1.768490,-5.527396,0.000000,-17.207012,0.000000,-21.394646,0.000000,-21.487660,0.000000,283.067350,0.000000,900.000000
10/04/2014 06:00,735699.250000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.990000,0.454561,-0.288963,0.002248,0.000037,1.560526,-4.930622,1.708122,-15.162239,0.025602,-18.278141,3.284265,-20.477630,4.395435,286.778607,0.000000,900.000000
10/04/2014 07:00,735699.291667,0.541667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.350000,1.616122,2.552233,0.002859,0.006499,1.983420,-5.467037,22.231462,-14.475328,4.500819,-9.610054,42.850776,-43.855657,57.312163,284.025194,0.000000,900.000000
10/04/2014 08:00,735699.333333,0.583333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.359993,4.903492,9.115588,0.001322,0.041488,0.915278,-7.418151,62.446953,-11.410608,28.549452,7.176059,140.087207,-90.067546,177.035890,286.238411,0.000000,900.000000
10/04/2014 09:00,735699.375000,0.625000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.550000,10.621464,16.191462,0.009011,0.144487,6.205040,-7.052426,134.978281,-18.997265,98.799295,39.371758,288.174749,-137.206585,369.431981,286.448159,0.000000,900.000000
10/04/2014 10:00,735699.416667,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.110000,16.964935,21.393344,0.036889,0.257770,25.280245,4.182562,223.968599,-34.978311,175.419499,63.687083,412.873893,-162.619232,561.259302,288.583876,0.000000,900.000000
10/04/2014 11:00,735699.458333,0.708333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.119999,22.323762,25.572441,0.093945,0.327679,64.083583,22.535975,311.642352,-51.785983,222.112057,84.758431,503.967005,-182.950890,726.344548,286.493947,0.000000,900.000000
10/04/2014 12:00,735699.500000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.990000,26.187119,28.131235,0.156702,0.311256,106.504953,40.424386,378.570025,-63.593627,210.459803,94.327922,560.717088,-185.981832,842.891179,290.675241,0.000001,900.000000
10/04/2014 13:00,735699.541667,0.791667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.380000,26.505156,28.283540,0.168927,0.297287,114.677609,42.112446,339.778550,-64.601658,200.984552,88.352652,509.892085,-177.255722,762.581938,291.050587,0.000001,900.000000
10/04/2014 14:00,735699.583333,0.833333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.860001,21.022625,21.074062,0.097445,0.238731,66.351810,22.607538,157.457268,-58.406548,162.521471,30.619328,294.586862,-117.197452,400.085426,286.237046,0.000000,900.000000
10/04/2014 15:00,735699.625000,0.875000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.470000,16.919024,15.947465,0.053261,0.117040,36.392448,9.636421,82.714032,-50.848481,80.076224,1.732529,161.788131,-85.045927,215.937273,287.826270,0.000000,900.000000
10/04/2014 16:00,735699.666667,0.916667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.290000,16.179456,15.900813,0.040317,0.116085,27.585725,5.960640,91.564120,-45.972276,79.428776,8.160110,179.595486,-91.833388,239.493137,290.175365,0.000000,900.000000
10/04/2014 17:00,735699.708333,0.958333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.799997,13.665293,12.277524,0.022668,0.045475,15.536970,2.779105,45.502537,-45.305934,31.223542,-6.126424,90.285341,-69.208348,119.932329,285.397371,0.000000,900.000000
10/04/2014 18:00,735699.750000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.980000,10.756799,8.148694,0.017391,0.019211,11.948664,1.395100,18.183391,-42.234333,13.242114,-14.697419,36.283442,-44.045104,48.123605,284.888093,0.000000,900.000000
10/04/2014 19:00,735699.791667,1.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.680000,8.314438,5.117086,0.013391,0.001785,9.221035,0.624313,2.020308,-36.961766,1.233838,-19.038327,4.030332,-25.787973,5.349422,288.109067,0.000000,900.000000
10/04/2014 20:00,735699.833333,1.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.960002,6.815402,3.799530,0.010455,0.000000,7.210454,0.731247,0.000000,-31.369606,0.000000,-17.647041,0.000000,-18.866940,0.000000,292.396096,0.000000,900.000000
