Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,43.071341 ,119.371359 ,295.405732 ,701.540636 ,1638.548319 ,3800.350690 ,8787.918641 ,20294.906702  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,-847.520602,-2627.464631,-1317.613520,-542.875924,-89.223157,-2715.629972,-3522.471222,-3307.240341,-4177.544945 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,-900.255915,-2537.685791,-1315.916518,-541.604188,-91.813595,-2657.227809,-3522.469364,-3307.240469,-4177.544805 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,-944.647371,-2468.073726,-1314.092136,-540.554412,-94.266909,-2604.810149,-3522.467297,-3307.240597,-4177.544665 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,-983.338730,-2411.360578,-1312.179024,-539.689668,-96.600173,-2557.368135,-3522.465025,-3307.240725,-4177.544525 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,-1017.768369,-2363.755973,-1310.196588,-538.980034,-98.827287,-2514.120499,-3522.462554,-3307.240853,-4177.544384 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,-1048.776619,-2322.897119,-1308.158261,-538.401804,-100.959732,-2474.450918,-3522.459889,-3307.240981,-4177.544244 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,-1076.983807,-2287.204403,-1306.074869,-537.935906,-103.007116,-2437.865335,-3522.457034,-3307.241109,-4177.544104 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,-1102.921671,-2255.656746,-1303.957161,-537.566800,-104.977570,-2403.962140,-3522.453991,-3307.241237,-4177.543964 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,-1126.829759,-2227.441005,-1301.811336,-537.281677,-106.878044,-2372.410823,-3522.450767,-3307.241365,-4177.543824 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,-1148.987611,-2201.935947,-1299.643161,-537.069868,-108.714532,-2342.936404,-3522.447363,-3307.241493,-4177.543684 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,-1169.653651,-2178.689441,-1297.458156,-536.922407,-110.492241,-2315.307858,-3522.443783,-3307.241621,-4177.543543 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,-1189.016074,-2157.361955,-1295.261192,-536.831699,-112.215730,-2289.329378,-3522.440030,-3307.241749,-4177.543403 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,-1207.232067,-2137.634856,-1293.057726,-536.791542,-113.889015,-2264.833686,-3522.436107,-3307.241877,-4177.543263 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,-1226.029890,-2119.779833,-1291.294049,-536.845250,-115.515679,-2241.676847,-3522.432017,-3307.242005,-4177.543123 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,-1249.788745,-2106.551497,-1291.931975,-537.204834,-117.099091,-2219.734221,-3522.427763,-3307.242133,-4177.542983 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,-1297.614133,-2106.039863,-1299.711909,-538.384461,-118.642729,-2198.897341,-3522.423346,-3307.242261,-4177.542843 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,-1389.250603,-2120.719992,-1315.505853,-540.459613,-120.150129,-2179.071477,-3522.418769,-3307.242388,-4177.542702 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,-1551.871171,-2147.935462,-1336.535778,-543.098028,-121.624269,-2160.173491,-3522.414035,-3307.242516,-4177.542562 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,-1797.489640,-2178.746145,-1356.719396,-545.631252,-123.067230,-2142.129893,-3522.409146,-3307.242644,-4177.542422 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,-2090.906117,-2213.266318,-1376.210631,-548.077608,-124.480647,-2124.875224,-3522.404104,-3307.242772,-4177.542282 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,-2304.649461,-2243.224516,-1391.589864,-550.083298,-125.865855,-2108.350900,-3522.398910,-3307.242900,-4177.542142 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,-2428.585286,-2257.404253,-1397.820610,-551.144554,-127.223507,-2092.504195,-3522.393567,-3307.243028,-4177.542002 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,-2537.013139,-2271.578810,-1404.027394,-552.219745,-128.554652,-2077.287424,-3522.388077,-3307.243156,-4177.541861 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,-2586.001954,-2275.849738,-1404.792977,-552.751198,-129.860293,-2062.657495,-3522.382442,-3307.243284,-4177.541721 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,-2609.369316,-2276.174253,-1403.541884,-553.093207,-131.141338,-2048.575307,-3522.376662,-3307.243412,-4177.541581 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,-2620.065131,-2273.813047,-1400.967241,-553.315664,-132.398792,-2035.005326,-3522.370741,-3307.243540,-4177.541441 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,-2626.884216,-2271.024158,-1398.282173,-553.543021,-133.633688,-2021.915208,-3522.364679,-3307.243668,-4177.541301 
