Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,43.071341 ,119.371359 ,295.405732 ,701.540636 ,1638.548319 ,3800.350690 ,8787.918641 ,20294.906702  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,3.706347,3.926376,3.996350,3.999969,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,3.518204,3.793278,3.981017,3.999729,3.999999,4.000000,4.000000,4.000000,4.000000 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,3.413398,3.683098,3.955929,3.999070,3.999997,4.000000,4.000000,4.000000,4.000000 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,3.286450,3.584927,3.924426,3.997860,3.999992,4.000000,4.000000,4.000000,4.000000 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,3.157738,3.484511,3.887438,3.996001,3.999981,4.000000,4.000000,4.000000,4.000000 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,3.068252,3.393232,3.846133,3.993417,3.999962,4.000000,4.000000,4.000000,4.000000 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,2.931629,3.301248,3.801791,3.990065,3.999933,4.000000,4.000000,4.000000,4.000000 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,2.826852,3.204870,3.753995,3.985900,3.999890,4.000000,4.000000,4.000000,4.000000 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,2.816227,3.138030,3.704938,3.980900,3.999832,4.000000,4.000000,4.000000,4.000000 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,2.778126,3.093094,3.657818,3.975108,3.999755,3.999999,4.000000,4.000000,4.000000 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,2.757157,3.052868,3.612957,3.968589,3.999657,3.999999,4.000000,4.000000,4.000000 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,2.706981,3.011563,3.570372,3.961409,3.999535,3.999999,4.000000,4.000000,4.000000 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,3.260574,3.101736,3.535481,3.953672,3.999388,3.999998,4.000000,4.000000,4.000000 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,5.240364,3.716263,3.544500,3.945928,3.999214,3.999998,4.000000,4.000000,4.000000 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,8.648871,5.159677,3.665398,3.939839,3.999017,3.999997,4.000000,4.000000,4.000000 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,12.799458,7.370689,3.963941,3.938384,3.998809,3.999996,4.000000,4.000000,4.000000 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,16.659487,9.953056,4.468141,3.945313,3.998614,3.999995,4.000000,4.000000,4.000000 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,19.965472,12.520066,5.159436,3.964217,3.998469,3.999993,4.000000,4.000000,4.000000 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,21.147144,14.517397,5.978207,3.997743,3.998421,3.999992,4.000000,4.000000,4.000000 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,18.015763,14.921989,6.786539,4.046397,3.998523,3.999990,4.000000,4.000000,4.000000 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,14.735144,13.908438,7.418660,4.107390,3.998821,3.999989,4.000000,4.000000,4.000000 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,13.564069,12.816051,7.845392,4.176359,3.999348,3.999988,4.000000,4.000000,4.000000 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,11.672296,11.835850,8.116393,4.249705,4.000123,3.999988,4.000000,4.000000,4.000000 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,9.600929,10.631842,8.237325,4.324387,4.001153,3.999989,4.000000,4.000000,4.000000 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,8.000365,9.436131,8.222325,4.397587,4.002436,3.999991,4.000000,4.000000,4.000000 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,6.868571,8.396541,8.102319,4.467073,4.003961,3.999994,4.000000,4.000000,4.000000 
