Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,43.071341 ,119.371359 ,295.405732 ,701.540636 ,1638.548319 ,3800.350690 ,8787.918641 ,20294.906702  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,0.329036,0.276701,0.307234,0.353011,0.471966,0.275343,0.264943,0.267414,0.258410 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,0.324670,0.278102,0.307291,0.353142,0.469823,0.276237,0.264943,0.267414,0.258410 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,0.321184,0.279174,0.307354,0.353251,0.467855,0.277059,0.264943,0.267414,0.258410 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,0.318243,0.280034,0.307420,0.353341,0.466036,0.277821,0.264943,0.267414,0.258410 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,0.315627,0.280739,0.307488,0.353415,0.464344,0.278530,0.264943,0.267414,0.258410 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,0.313288,0.281331,0.307558,0.353475,0.462764,0.279193,0.264943,0.267414,0.258410 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,0.311160,0.281835,0.307629,0.353524,0.461281,0.279817,0.264943,0.267414,0.258410 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,0.309132,0.282267,0.307701,0.353562,0.459885,0.280404,0.264943,0.267414,0.258410 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,0.307244,0.282643,0.307774,0.353592,0.458566,0.280960,0.264943,0.267414,0.258410 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,0.305455,0.282972,0.307847,0.353614,0.457316,0.281488,0.264943,0.267414,0.258410 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,0.303785,0.283263,0.307920,0.353630,0.456128,0.281989,0.264943,0.267414,0.258410 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,0.302177,0.283522,0.307994,0.353639,0.454998,0.282467,0.264943,0.267414,0.258410 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,0.300729,0.283754,0.308066,0.353642,0.453918,0.282924,0.264943,0.267414,0.258410 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,0.298966,0.283929,0.308105,0.353630,0.452886,0.283362,0.264943,0.267414,0.258410 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,0.296379,0.283954,0.308015,0.353574,0.451897,0.283781,0.264943,0.267414,0.258410 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,0.291806,0.283703,0.307686,0.353439,0.450947,0.284184,0.264943,0.267414,0.258410 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,0.284170,0.283124,0.307089,0.353218,0.450032,0.284572,0.264944,0.267414,0.258410 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,0.272828,0.282247,0.306271,0.352925,0.449150,0.284946,0.264944,0.267414,0.258410 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,0.258674,0.281141,0.305326,0.352592,0.448298,0.285306,0.264944,0.267414,0.258410 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,0.245110,0.279901,0.304399,0.352264,0.447474,0.285654,0.264944,0.267414,0.258410 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,0.237158,0.278880,0.303822,0.352046,0.446677,0.285990,0.264944,0.267414,0.258410 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,0.232812,0.278112,0.303542,0.351920,0.445905,0.286316,0.264944,0.267414,0.258410 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,0.229328,0.277339,0.303273,0.351796,0.445157,0.286632,0.264944,0.267414,0.258410 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,0.226899,0.276700,0.303148,0.351717,0.444431,0.286937,0.264944,0.267414,0.258410 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,0.225446,0.276193,0.303142,0.351674,0.443727,0.287234,0.264944,0.267414,0.258410 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,0.224720,0.275788,0.303209,0.351652,0.443044,0.287523,0.264944,0.267414,0.258410 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,0.224375,0.275422,0.303283,0.351630,0.442380,0.287803,0.264944,0.267414,0.258410 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,0.224309,0.275086,0.303356,0.351607,0.441735,0.288076,0.264944,0.267414,0.258410 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,0.224301,0.274773,0.303428,0.351582,0.441107,0.288341,0.264944,0.267414,0.258410 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,0.224476,0.274483,0.303499,0.351555,0.440496,0.288600,0.264944,0.267414,0.258410 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,0.224783,0.274217,0.303570,0.351527,0.439900,0.288853,0.264944,0.267414,0.258410 
11/04/2014 01:00,735700.041667,1.291667,1,1,1,0.225129,0.273971,0.303639,0.351497,0.439319,0.289099,0.264944,0.267414,0.258410 
11/04/2014 02:00,735700.083333,1.333333,1,1,1,0.225451,0.273743,0.303708,0.351466,0.438752,0.289339,0.264945,0.267414,0.258410 
11/04/2014 03:00,735700.125000,1.375000,1,1,1,0.225811,0.273531,0.303776,0.351434,0.438200,0.289574,0.264945,0.267414,0.258410 
11/04/2014 04:00,735700.166667,1.416667,1,1,1,0.226020,0.273331,0.303842,0.351401,0.437660,0.289803,0.264945,0.267414,0.258410 
11/04/2014 05:00,735700.208333,1.458333,1,1,1,0.226036,0.273136,0.303907,0.351367,0.437132,0.290028,0.264945,0.267414,0.258410 
11/04/2014 06:00,735700.250000,1.500000,1,1,1,0.226002,0.272947,0.303969,0.351332,0.436617,0.290247,0.264945,0.267414,0.258410 
