Date,JDfrom0,Iprec,WindSp,WindDir,RelHum,AirT,SWglobal,CloudTrans
09/04/2014 18:00,735697.75,0,NA,0,25.91,6.83,67.64,-9999
09/04/2014 19:00,735697.7917,0,NA,0,28.18,5.61,3.44,-9999
09/04/2014 20:00,735697.8333,0,NA,0,27.28,5.48,0,-9999
09/04/2014 21:00,735697.875,0,NA,0,25.79,5.29,0,-9999
09/04/2014 22:00,735697.9167,0,NA,0,27.7,4.86,0,-9999
09/04/2014 23:00,735697.9583,0,NA,0,27.89,4.6,0,-9999
10/04/2014 00:00,735698,0,NA,0,28.2,4.47,0,-9999
10/04/2014 01:00,735698.0417,0,NA,0,29.63,4.55,0,-9999
10/04/2014 02:00,735698.0833,0,NA,0,34.86,3.67,0,-9999
10/04/2014 03:00,735698.125,0,NA,0,33.55,4.04,0,-9999
10/04/2014 04:00,735698.1667,0,NA,0,28.75,5.32,0,-9999
10/04/2014 05:00,735698.2083,0,NA,0,30.45,5.91,1.73,-9999
10/04/2014 06:00,735698.25,0,NA,0,35.03,6.07,25.58,-9999
10/04/2014 07:00,735698.2917,0,NA,0,38.16,6.56,126.53,-9999
10/04/2014 08:00,735698.3333,0,NA,0,38.34,7.61,422.15,-9999
10/04/2014 09:00,735698.375,0,NA,0,39.64,8.02,470.38,-9999
10/04/2014 10:00,735698.4167,0,NA,0,41.52,8.54,629.02,-9999
10/04/2014 11:00,735698.4583,0,NA,0,37.88,9.79,839.77,-9999
10/04/2014 12:00,735698.5,0,NA,0,41.17,10.62,842.85,-9999
10/04/2014 13:00,735698.5417,0,NA,0,40.12,10.78,655.75,-9999
10/04/2014 14:00,735698.5833,0,NA,0,41.14,10.71,685.77,-9999
10/04/2014 15:00,735698.625,0,NA,0,46.98,10.7,507.7,-9999
10/04/2014 16:00,735698.6667,0,NA,0,46.79,9.78,306.5,-9999
10/04/2014 17:00,735698.7083,0,NA,0,48.54,9.5,194.9,-9999
10/04/2014 18:00,735698.75,0,NA,0,49.02,8.92,42.53,-9999
10/04/2014 19:00,735698.7917,0,NA,0,50.81,8.46,2.47,-9999
10/04/2014 20:00,735698.8333,0,NA,0,52.47,8.25,0,-9999
10/04/2014 21:00,735698.875,0,NA,0,53.52,8.04,0,-9999
10/04/2014 22:00,735698.9167,0,NA,0,52.96,7.87,0,-9999
10/04/2014 23:00,735698.9583,0,NA,0,53.23,7.66,0,-9999
11/04/2014 00:00,735699,0,NA,0,52.85,7.67,0,-9999
11/04/2014 01:00,735699.0417,0,NA,0,51.34,7.55,0,-9999
11/04/2014 02:00,735699.0833,0,NA,0,50.72,7.59,0,-9999
11/04/2014 03:00,735699.125,0,NA,0,49.16,7.99,0,-9999
11/04/2014 04:00,735699.1667,0,NA,0,50.4,7.69,0,-9999
11/04/2014 05:00,735699.2083,0,NA,0,49.29,7.9,1.71,-9999
11/04/2014 06:00,735699.25,0,NA,0,54.12,6.99,18.47,-9999
11/04/2014 07:00,735699.2917,0,NA,0,51.48,7.35,86.45,-9999
11/04/2014 08:00,735699.3333,0,NA,0,47.02,9.36,399.98,-9999
11/04/2014 09:00,735699.375,0,NA,0,43.26,10.55,603.73,-9999
11/04/2014 10:00,735699.4167,0,NA,0,39.36,12.11,754.42,-9999
11/04/2014 11:00,735699.4583,0,NA,0,33.72,13.12,870.75,-9999
11/04/2014 12:00,735699.5,0,NA,0,33.86,13.99,944.75,-9999
11/04/2014 13:00,735699.5417,0,NA,0,32.62,14.38,702,-9999
11/04/2014 14:00,735699.5833,0,NA,0,30.49,13.86,390,-9999
11/04/2014 15:00,735699.625,0,NA,0,33.48,13.47,214.68,-9999
11/04/2014 16:00,735699.6667,0,NA,0,36.19,13.29,234.53,-9999
11/04/2014 17:00,735699.7083,0,NA,0,34.04,12.8,118.78,-9999
11/04/2014 18:00,735699.75,0,NA,0,36.81,11.98,47.62,-9999
11/04/2014 19:00,735699.7917,0,NA,0,44.06,10.68,2.81,-9999
11/04/2014 20:00,735699.8333,0,NA,0,52.25,8.96,0,-9999
11/04/2014 21:00,735699.875,0,NA,0,61.94,7.54,0,-9999
11/04/2014 22:00,735699.9167,0,NA,0,65.77,6.5,0,-9999
11/04/2014 23:00,735699.9583,0,NA,0,72.11,5.67,0,-9999
12/04/2014 00:00,735700,0,NA,0,76.87,5.09,0,-9999
12/04/2014 01:00,735700.0417,0,NA,0,78.45,4.78,0,-9999
12/04/2014 02:00,735700.0833,0,NA,0,78.66,4.38,0,-9999
12/04/2014 03:00,735700.125,0,NA,0,79.65,4.29,0,-9999
12/04/2014 04:00,735700.1667,0,NA,0,74.77,4.26,0,-9999
12/04/2014 05:00,735700.2083,0,NA,0,66.56,4.83,1.82,-9999
12/04/2014 06:00,735700.25,0,NA,0,62.67,5.63,36.78,-9999
12/04/2014 07:00,735700.2917,0,NA,0,67.05,6.17,82.88,-9999
12/04/2014 08:00,735700.3333,0,NA,0,71.03,5.51,107.83,-9999
12/04/2014 09:00,735700.375,0,NA,0,68.06,5.99,246.22,-9999
12/04/2014 10:00,735700.4167,0,NA,0,66.07,7.99,317.32,-9999
