Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,Prain_below_canopy[mm],Psnow_below_canopy[mm],Prain_above_canopy[mm],Prain_above_canopy[mm],Pnet[mm],Tair[C],Tsurface[C],Tvegetation[C],Evap_surface[mm],Transpiration_canopy[mm],LE[W/m2],H[W/m2],SW[W/m2],LW[W/m2],LEv[W/m2],Hv[W/m2],SWv[W/m2],LWv[W/m2],SWin[W/m2],LWin[W/m2],Mass_balance_error[mm],Mean_Time_Step[s]
09/04/2014 19:00,735698.791667,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.460000,2.971534,1.645035,0.004715,0.000229,3.265183,-4.672354,1.690814,-21.609585,0.158661,-22.303672,3.178341,-23.171152,4.276246,287.874575,0.000000,900.000000
09/04/2014 20:00,735698.833333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.250000,2.413175,1.356226,0.003788,0.000000,2.624891,-5.267732,0.000000,-18.992595,0.000000,-21.912201,0.000000,-22.279589,0.000000,289.585770,0.000000,900.000000
09/04/2014 21:00,735698.875000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.040000,2.116726,1.186614,0.003337,0.000000,2.312885,-5.459879,0.000000,-17.689038,0.000000,-21.532780,0.000000,-21.718226,0.000000,290.386241,0.000000,900.000000
09/04/2014 22:00,735698.916667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.870000,1.843014,0.925309,0.003290,0.000000,2.281042,-5.568350,0.000000,-17.804174,0.000000,-21.821090,0.000000,-22.200135,0.000000,288.704532,0.000000,900.000000
09/04/2014 23:00,735698.958333,0.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.660002,1.616819,0.725984,0.003142,0.000000,2.178831,-5.602591,0.000000,-17.458840,0.000000,-21.761470,0.000000,-22.016729,0.000000,288.224849,0.000000,900.000000
10/04/2014 00:00,735699.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.670000,1.436673,0.594437,0.002991,0.000000,2.074794,-5.821167,0.000000,-17.203092,0.000000,-22.113860,0.000000,-22.280780,0.000000,287.641921,0.000000,900.000000
10/04/2014 01:00,735699.041667,0.291667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.550000,1.201746,0.295070,0.003177,0.000000,2.204047,-5.871060,0.000000,-18.138828,0.000000,-22.829164,0.000000,-23.285470,0.000000,284.685881,0.000000,900.000000
10/04/2014 02:00,735699.083333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.590003,1.018706,0.139764,0.003059,0.000000,2.122432,-6.093882,0.000000,-18.008715,0.000000,-23.384047,0.000000,-23.563321,0.000000,283.891803,0.000000,900.000000
10/04/2014 03:00,735699.125000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.990000,0.898682,0.119039,0.002910,0.000000,2.019341,-6.643448,0.000000,-17.757049,0.000000,-24.506474,0.000000,-24.537876,0.000000,283.275695,0.000000,900.000000
10/04/2014 04:00,735699.166667,0.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.690000,0.796369,0.046955,0.002762,0.000000,1.917249,-6.470186,0.000000,-17.200394,0.000000,-23.807683,0.000000,-23.940453,0.000000,283.836027,0.000000,900.000000
10/04/2014 05:00,735699.208333,0.458333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.899991,0.701309,0.000158,0.002716,0.000000,1.885215,-6.772410,0.000000,-17.187656,0.000000,-24.548407,0.000000,-24.652500,0.000000,283.074045,0.000000,900.000000
10/04/2014 06:00,735699.250000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.990000,0.736820,0.183543,0.002428,0.000103,1.684989,-6.003600,1.714173,-15.265785,0.071842,-20.940413,3.295900,-23.160336,4.411006,286.784780,0.000000,900.000000
10/04/2014 07:00,735699.291667,0.541667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.350000,1.890056,2.825125,0.002953,0.007349,2.048394,-6.553124,22.757759,-15.023240,5.088110,-10.988231,43.915451,-45.109448,58.711084,284.031631,0.000000,900.000000
10/04/2014 08:00,735699.333333,0.583333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.359993,5.205657,9.132798,0.001959,0.043534,1.355513,-9.016189,63.237082,-12.785977,29.956969,9.595172,139.623376,-88.992833,177.412294,286.245662,0.000000,900.000000
10/04/2014 09:00,735699.375000,0.625000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.550000,10.682189,15.668791,0.010143,0.137663,6.984932,-7.903626,133.085025,-20.816221,94.184754,45.432656,282.317620,-131.520562,362.840388,286.455803,0.000000,900.000000
10/04/2014 10:00,735699.416667,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.110000,16.719163,20.603692,0.036247,0.244160,24.844734,5.551615,219.536471,-36.093429,166.285292,72.742032,404.719626,-155.091503,550.209386,288.591942,0.000000,900.000000
10/04/2014 11:00,735699.458333,0.708333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.119999,21.849854,24.368126,0.086095,0.321982,58.750852,27.586124,305.332077,-52.994895,218.502971,94.215853,494.774052,-171.973586,712.460740,286.501893,0.000003,900.000000
10/04/2014 12:00,735699.500000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.990000,25.739603,27.766053,0.142960,0.319421,97.201686,48.245173,371.031986,-62.186106,216.061643,115.237807,550.978934,-184.089180,827.246388,290.683560,0.000012,900.000000
10/04/2014 13:00,735699.541667,0.791667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.380000,26.276753,28.246925,0.155871,0.301207,105.841411,51.521039,338.304694,-63.383375,203.641953,111.331257,508.501514,-178.361491,759.925668,291.058911,0.000015,900.000000
10/04/2014 14:00,735699.583333,0.833333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.860001,20.681739,20.529485,0.088040,0.234025,59.965764,27.558343,154.636946,-58.201113,159.400400,33.943801,290.108303,-113.274973,393.561346,286.244857,0.000003,900.000000
10/04/2014 15:00,735699.625000,0.875000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.470000,16.593305,15.579026,0.047679,0.115038,32.588224,11.276645,80.315844,-50.200506,78.733794,0.387160,157.152852,-83.134058,209.721992,287.834329,0.000000,900.000000
10/04/2014 16:00,735699.666667,0.916667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.290000,15.809646,15.387317,0.035434,0.109409,24.252004,6.830757,86.939083,-45.533571,74.898380,7.140951,170.707563,-88.527306,227.557254,290.183650,0.000000,900.000000
10/04/2014 17:00,735699.708333,0.958333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.799997,13.248821,11.853176,0.020023,0.043703,13.728970,2.892585,42.052867,-44.372419,30.019205,-8.729629,83.401142,-67.063646,110.809806,285.405225,0.000000,900.000000
10/04/2014 18:00,735699.750000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.980000,10.357504,7.919342,0.015368,0.017934,10.562531,1.069685,15.605812,-40.871049,12.364315,-18.530329,31.107968,-43.753001,41.275326,284.895904,0.000000,900.000000
10/04/2014 19:00,735699.791667,1.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.680000,8.062117,5.270350,0.011950,0.001749,8.230835,0.123179,1.725598,-35.329340,1.208769,-22.461654,3.439731,-28.422192,4.566501,288.116785,0.000000,900.000000
