Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,43.071341 ,119.371359 ,295.405732 ,701.540636 ,1638.548319 ,3800.350690 ,8787.918641 ,20294.906702  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,-847.520602,-2627.464631,-1317.613520,-542.875924,-89.223157,-2715.629972,-3522.471222,-3307.240341,-4177.544945 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,-902.690490,-2538.329104,-1315.955530,-541.604471,-91.813596,-2657.227810,-3522.469364,-3307.240469,-4177.544805 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,-949.039110,-2469.535430,-1314.169160,-540.554738,-94.266909,-2604.810150,-3522.467297,-3307.240597,-4177.544665 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,-989.484893,-2413.678222,-1312.295285,-539.690072,-96.600174,-2557.368136,-3522.465025,-3307.240725,-4177.544525 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,-1025.690178,-2366.958819,-1310.354988,-538.980553,-98.827289,-2514.120501,-3522.462554,-3307.240853,-4177.544384 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,-1058.422262,-2326.987343,-1308.360428,-538.402478,-100.959735,-2474.450917,-3522.459889,-3307.240981,-4177.544244 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,-1088.297003,-2292.167747,-1306.321817,-537.936779,-103.007121,-2437.865329,-3522.457034,-3307.241109,-4177.544104 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,-1116.068756,-2261.506422,-1304.252135,-537.567919,-104.977577,-2403.962124,-3522.453991,-3307.241237,-4177.543964 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,-1141.764793,-2234.164107,-1302.155335,-537.283092,-106.878054,-2372.410791,-3522.450767,-3307.241365,-4177.543824 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,-1165.648680,-2209.506922,-1300.036367,-537.071633,-108.714545,-2342.936349,-3522.447363,-3307.241493,-4177.543684 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,-1187.967217,-2187.080352,-1297.900338,-536.924575,-110.492259,-2315.307770,-3522.443783,-3307.241621,-4177.543543 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,-1208.985306,-2166.552400,-1295.752689,-536.834326,-112.215755,-2289.329246,-3522.440030,-3307.241749,-4177.543403 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,-1228.677731,-2147.589112,-1293.600975,-536.795192,-113.889048,-2264.833499,-3522.436107,-3307.241877,-4177.543263 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,-1250.293912,-2130.634175,-1291.942380,-536.855935,-115.515726,-2241.676590,-3522.432017,-3307.242005,-4177.543123 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,-1281.126414,-2118.579656,-1292.758342,-537.231696,-117.099164,-2219.733883,-3522.427763,-3307.242133,-4177.542983 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,-1351.724288,-2118.919622,-1300.090650,-538.359565,-118.642815,-2198.896911,-3522.423346,-3307.242261,-4177.542843 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,-1500.870355,-2135.219558,-1314.930316,-540.330982,-120.150125,-2179.070922,-3522.418769,-3307.242388,-4177.542702 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,-1800.268000,-2167.477112,-1335.539962,-542.926833,-121.624088,-2160.172736,-3522.414035,-3307.242516,-4177.542562 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,-2329.387464,-2206.693324,-1356.291785,-545.525083,-123.066941,-2142.128863,-3522.409146,-3307.242644,-4177.542422 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,-3074.962152,-2249.588571,-1376.063344,-548.003452,-124.480287,-2124.873871,-3522.404104,-3307.242772,-4177.542282 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,-3666.346069,-2288.580270,-1391.144854,-549.973437,-125.865420,-2108.349192,-3522.398910,-3307.242900,-4177.542142 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,-4029.168620,-2312.774157,-1397.344205,-551.022173,-127.222978,-2092.502099,-3522.393567,-3307.243028,-4177.542002 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,-4342.044862,-2336.559886,-1403.194773,-552.048740,-128.553998,-2077.284907,-3522.388077,-3307.243156,-4177.541861 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,-4487.598467,-2350.830837,-1404.008394,-552.570005,-129.859493,-2062.654522,-3522.382442,-3307.243284,-4177.541721 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,-4550.970810,-2360.568924,-1402.867362,-552.905211,-131.140388,-2048.571845,-3522.376662,-3307.243412,-4177.541581 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,-4572.614016,-2366.950726,-1400.512252,-553.130055,-132.397694,-2035.001349,-3522.370741,-3307.243540,-4177.541441 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,-4578.783282,-2372.206266,-1398.063493,-553.360025,-133.632449,-2021.910698,-3522.364679,-3307.243668,-4177.541301 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,-4577.718083,-2376.709897,-1395.637802,-553.607788,-134.845670,-2009.270409,-3522.358478,-3307.243796,-4177.541161 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,-4576.481144,-2380.787254,-1393.239096,-553.871910,-136.038302,-1997.053539,-3522.352139,-3307.243924,-4177.541020 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,-4568.205587,-2384.404603,-1390.854001,-554.151059,-137.211227,-1985.235414,-3522.345665,-3307.244052,-4177.540880 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,-4553.714024,-2387.606853,-1388.482018,-554.444008,-138.365267,-1973.793379,-3522.339056,-3307.244179,-4177.540740 
11/04/2014 01:00,735700.041667,1.291667,1,1,1,-4536.207929,-2390.473995,-1386.126563,-554.749625,-139.501188,-1962.706596,-3522.332314,-3307.244307,-4177.540600 
11/04/2014 02:00,735700.083333,1.333333,1,1,1,-4518.762312,-2393.098677,-1383.792494,-555.066867,-140.619395,-1951.953689,-3522.325440,-3307.244435,-4177.540460 
11/04/2014 03:00,735700.125000,1.375000,1,1,1,-4498.685701,-2395.423504,-1381.473099,-555.394750,-141.719966,-1941.512786,-3522.318436,-3307.244563,-4177.540319 
11/04/2014 04:00,735700.166667,1.416667,1,1,1,-4482.875739,-2397.638510,-1379.182200,-555.732414,-142.804496,-1931.374065,-3522.311302,-3307.244691,-4177.540179 
11/04/2014 05:00,735700.208333,1.458333,1,1,1,-4471.580067,-2399.774396,-1376.919720,-556.079062,-143.873575,-1921.522286,-3522.304039,-3307.244819,-4177.540039 
11/04/2014 06:00,735700.250000,1.500000,1,1,1,-4459.381722,-2401.765008,-1374.701490,-556.436892,-144.927757,-1911.943298,-3522.296650,-3307.244947,-4177.539899 
11/04/2014 07:00,735700.291667,1.541667,1,1,1,-4455.437046,-2404.880322,-1373.210348,-556.880599,-145.967602,-1902.623937,-3522.289134,-3307.245075,-4177.539759 
11/04/2014 08:00,735700.333333,1.583333,1,1,1,-4503.344779,-2411.527657,-1373.361378,-557.505751,-146.993740,-1893.551952,-3522.281494,-3307.245203,-4177.539619 
11/04/2014 09:00,735700.375000,1.625000,1,1,1,-4659.845503,-2428.052456,-1378.135315,-558.632404,-148.006941,-1884.715934,-3522.273730,-3307.245331,-4177.539478 
11/04/2014 10:00,735700.416667,1.666667,1,1,1,-4913.795314,-2452.854952,-1386.523492,-560.152627,-149.008252,-1876.106718,-3522.265844,-3307.245458,-4177.539338 
11/04/2014 11:00,735700.458333,1.708333,1,1,1,-5099.691455,-2469.328565,-1389.991395,-561.146301,-149.997450,-1867.711521,-3522.257836,-3307.245586,-4177.539198 
11/04/2014 12:00,735700.500000,1.750000,1,1,1,-5421.761343,-2498.349639,-1399.203590,-562.754847,-150.975951,-1859.526469,-3522.249707,-3307.245714,-4177.539058 
11/04/2014 13:00,735700.541667,1.791667,1,1,1,-6079.521433,-2546.510441,-1416.538724,-565.219838,-151.944284,-1851.540032,-3522.241458,-3307.245842,-4177.538918 
11/04/2014 14:00,735700.583333,1.833333,1,1,1,-6682.095309,-2587.539009,-1428.485294,-567.102971,-152.902545,-1843.742724,-3522.233091,-3307.245970,-4177.538778 
11/04/2014 15:00,735700.625000,1.875000,1,1,1,-7265.420529,-2628.254430,-1439.034272,-568.830411,-153.850746,-1836.126857,-3522.224607,-3307.246098,-4177.538637 
11/04/2014 16:00,735700.666667,1.916667,1,1,1,-7800.546281,-2667.198331,-1447.744242,-570.358121,-154.789047,-1828.685150,-3522.216005,-3307.246226,-4177.538497 
11/04/2014 17:00,735700.708333,1.958333,1,1,1,-8270.942601,-2704.643317,-1455.228505,-571.755873,-155.717015,-1821.407467,-3522.207288,-3307.246354,-4177.538357 
11/04/2014 18:00,735700.750000,2.000000,1,1,1,-8356.679410,-2724.330699,-1454.515502,-572.304632,-156.634906,-1814.289540,-3522.198455,-3307.246481,-4177.538217 
11/04/2014 19:00,735700.791667,2.041667,1,1,1,-8310.109242,-2738.970931,-1452.421995,-572.710047,-157.542856,-1807.326233,-3522.189509,-3307.246609,-4177.538077 
11/04/2014 20:00,735700.833333,2.083333,1,1,1,-8238.627882,-2751.571051,-1450.250447,-573.106380,-158.441101,-1800.511633,-3522.180449,-3307.246737,-4177.537937 
11/04/2014 21:00,735700.875000,2.125000,1,1,1,-8156.232773,-2762.700656,-1448.117909,-573.507449,-159.329908,-1793.840143,-3522.171276,-3307.246865,-4177.537796 
11/04/2014 22:00,735700.916667,2.166667,1,1,1,-8078.261851,-2772.808802,-1446.025871,-573.912902,-160.209534,-1787.306470,-3522.161992,-3307.246993,-4177.537656 
11/04/2014 23:00,735700.958333,2.208333,1,1,1,-7993.379590,-2781.918899,-1443.956984,-574.322385,-161.080226,-1780.905601,-3522.152597,-3307.247121,-4177.537516 
12/04/2014 00:00,735701.000000,2.250000,1,1,1,-7902.343793,-2790.108247,-1441.905505,-574.735550,-161.942219,-1774.632783,-3522.143092,-3307.247249,-4177.537376 
12/04/2014 01:00,735701.041667,2.291667,1,1,1,-7811.031688,-2797.562931,-1439.878349,-575.152069,-162.795738,-1768.483510,-3522.133477,-3307.247376,-4177.537236 
12/04/2014 02:00,735701.083333,2.333333,1,1,1,-7725.578786,-2804.434298,-1437.880638,-575.571637,-163.640997,-1762.453501,-3522.123754,-3307.247504,-4177.537096 
12/04/2014 03:00,735701.125000,2.375000,1,1,1,-7640.928895,-2810.680088,-1435.903373,-575.993963,-164.478204,-1756.538691,-3522.113923,-3307.247632,-4177.536955 
12/04/2014 04:00,735701.166667,2.416667,1,1,1,-7557.767510,-2816.367971,-1433.946230,-576.418774,-165.307555,-1750.735215,-3522.103984,-3307.247760,-4177.536815 
12/04/2014 05:00,735701.208333,2.458333,1,1,1,-7474.222904,-2821.520391,-1432.008417,-576.845813,-166.129240,-1745.039393,-3522.093940,-3307.247888,-4177.536675 
12/04/2014 06:00,735701.250000,2.500000,1,1,1,-7390.516134,-2826.163339,-1430.096297,-577.275542,-166.943440,-1739.447721,-3522.083789,-3307.248016,-4177.536535 
12/04/2014 07:00,735701.291667,2.541667,1,1,1,-7350.170206,-2832.687346,-1429.081988,-577.799619,-167.750364,-1733.956861,-3522.073533,-3307.248143,-4177.536395 
12/04/2014 08:00,735701.333333,2.583333,1,1,1,-7431.044941,-2846.842137,-1431.254247,-578.664907,-168.550364,-1728.563633,-3522.063173,-3307.248271,-4177.536255 
12/04/2014 09:00,735701.375000,2.625000,1,1,1,-7634.591199,-2867.577498,-1435.832186,-579.787327,-169.343823,-1723.265021,-3522.052708,-3307.248399,-4177.536114 
12/04/2014 10:00,735701.416667,2.666667,1,1,1,-7960.413747,-2894.673288,-1442.469990,-581.126567,-170.131045,-1718.058155,-3522.042141,-3307.248527,-4177.535974 
12/04/2014 11:00,735701.458333,2.708333,1,1,1,-8685.186405,-2945.426727,-1458.199550,-583.427877,-170.913160,-1712.942596,-3522.031471,-3307.248655,-4177.535834 
12/04/2014 12:00,735701.500000,2.750000,1,1,1,-9745.602390,-3006.933125,-1476.516013,-585.986107,-171.690170,-1707.913430,-3522.020699,-3307.248782,-4177.535694 
12/04/2014 13:00,735701.541667,2.791667,1,1,1,-11465.406672,-3090.013498,-1501.363443,-589.204562,-172.462527,-1702.968204,-3522.009826,-3307.248910,-4177.535554 
12/04/2014 14:00,735701.583333,2.833333,1,1,1,-14029.506304,-3191.999118,-1530.179154,-592.796404,-173.230695,-1698.104589,-3521.998852,-3307.249038,-4177.535414 
12/04/2014 15:00,735701.625000,2.875000,1,1,1,-16073.710328,-3282.541117,-1550.537012,-595.489347,-173.994494,-1693.320350,-3521.987778,-3307.249166,-4177.535273 
12/04/2014 16:00,735701.666667,2.916667,1,1,1,-18228.536654,-3381.314763,-1571.978980,-598.265308,-174.753772,-1688.613307,-3521.976605,-3307.249294,-4177.535133 
12/04/2014 17:00,735701.708333,2.958333,1,1,1,-19870.779972,-3469.171922,-1587.539091,-600.435325,-175.508423,-1683.981352,-3521.965332,-3307.249421,-4177.534993 
12/04/2014 18:00,735701.750000,3.000000,1,1,1,-20132.480051,-3520.081281,-1589.210847,-601.220720,-176.257349,-1679.420570,-3521.953961,-3307.249549,-4177.534853 
12/04/2014 19:00,735701.791667,3.041667,1,1,1,-19770.665651,-3556.237828,-1587.515257,-601.668551,-177.000581,-1674.930820,-3521.942493,-3307.249677,-4177.534713 
12/04/2014 20:00,735701.833333,3.083333,1,1,1,-19324.357839,-3586.253742,-1585.657130,-602.096001,-177.738159,-1670.510131,-3521.930927,-3307.249805,-4177.534573 
12/04/2014 21:00,735701.875000,3.125000,1,1,1,-18897.136800,-3612.038700,-1583.853474,-602.526146,-178.470198,-1666.156608,-3521.919264,-3307.249932,-4177.534432 
12/04/2014 22:00,735701.916667,3.166667,1,1,1,-18493.838440,-3634.503148,-1582.083279,-602.958744,-179.196811,-1661.868435,-3521.907505,-3307.250060,-4177.534292 
12/04/2014 23:00,735701.958333,3.208333,1,1,1,-18124.050462,-3654.389924,-1580.338738,-603.393527,-179.918105,-1657.643868,-3521.895650,-3307.250188,-4177.534152 
13/04/2014 00:00,735702.000000,3.250000,1,1,1,-17770.235818,-3672.024200,-1578.603848,-603.830222,-180.634185,-1653.481233,-3521.883700,-3307.250316,-4177.534012 
13/04/2014 01:00,735702.041667,3.291667,1,1,1,-17438.084237,-3687.863850,-1576.880474,-604.268558,-181.345152,-1649.378922,-3521.871656,-3307.250443,-4177.533872 
13/04/2014 02:00,735702.083333,3.333333,1,1,1,-17130.588902,-3702.199460,-1575.170055,-604.708280,-182.051101,-1645.335391,-3521.859517,-3307.250571,-4177.533732 
13/04/2014 03:00,735702.125000,3.375000,1,1,1,-16833.536969,-3715.066306,-1573.463035,-605.149143,-182.752127,-1641.349156,-3521.847285,-3307.250699,-4177.533591 
13/04/2014 04:00,735702.166667,3.416667,1,1,1,-16552.045577,-3726.713810,-1571.763643,-605.590918,-183.448318,-1637.418787,-3521.834959,-3307.250827,-4177.533451 
13/04/2014 05:00,735702.208333,3.458333,1,1,1,-16282.911140,-3737.257416,-1570.072097,-606.033396,-184.139761,-1633.542911,-3521.822540,-3307.250954,-4177.533311 
13/04/2014 06:00,735702.250000,3.500000,1,1,1,-16033.918460,-3746.894211,-1568.394766,-606.476386,-184.826540,-1629.720205,-3521.810030,-3307.251082,-4177.533171 
13/04/2014 07:00,735702.291667,3.541667,1,1,1,-15844.150626,-3757.923336,-1567.467053,-606.994963,-185.508756,-1625.949393,-3521.797427,-3307.251210,-4177.533031 
13/04/2014 08:00,735702.333333,3.583333,1,1,1,-15833.380834,-3780.952934,-1570.783552,-607.946203,-186.186661,-1622.229249,-3521.784734,-3307.251337,-4177.532891 
13/04/2014 09:00,735702.375000,3.625000,1,1,1,-16465.214824,-3835.527344,-1584.341235,-609.934544,-186.860846,-1618.558606,-3521.771949,-3307.251465,-4177.532750 
13/04/2014 10:00,735702.416667,3.666667,1,1,1,-18306.414274,-3929.345623,-1609.639924,-613.090094,-187.532489,-1614.937581,-3521.759074,-3307.251593,-4177.532610 
13/04/2014 11:00,735702.458333,3.708333,1,1,1,-22152.392552,-4056.986819,-1643.169784,-617.027769,-188.201889,-1611.363909,-3521.746109,-3307.251721,-4177.532470 
