Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,43.071341 ,119.371359 ,295.405732 ,701.540636 ,1638.548319 ,3800.350690 ,8787.918641 ,20294.906702  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,3.331855,3.838818,3.992278,3.999936,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,2.732990,3.482780,3.954929,3.999380,3.999999,4.000000,4.000000,4.000000,4.000000 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,2.402316,3.161980,3.888927,3.997745,3.999994,4.000000,4.000000,4.000000,4.000000 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,2.129063,2.897669,3.804146,3.994626,3.999980,4.000000,4.000000,4.000000,4.000000 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,1.894170,2.668633,3.707343,3.989785,3.999952,4.000000,4.000000,4.000000,4.000000 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,1.703263,2.471255,3.603441,3.983101,3.999903,4.000000,4.000000,4.000000,4.000000 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,1.489088,2.288120,3.495667,3.974530,3.999828,4.000000,4.000000,4.000000,4.000000 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,1.297980,2.109317,3.384914,3.964063,3.999720,4.000000,4.000000,4.000000,4.000000 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,1.160439,1.951829,3.273079,3.951718,3.999572,3.999999,4.000000,4.000000,4.000000 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,1.048866,1.818351,3.162696,3.937557,3.999379,3.999999,4.000000,4.000000,4.000000 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,0.947250,1.700816,3.055365,3.921682,3.999133,3.999998,4.000000,4.000000,4.000000 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,0.921667,1.606811,2.952338,3.904215,3.998831,3.999997,4.000000,4.000000,4.000000 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,1.644598,1.710466,2.863946,3.885379,3.998466,3.999996,4.000000,4.000000,4.000000 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,4.038606,2.455530,2.835141,3.865983,3.998037,3.999994,4.000000,4.000000,4.000000 
