Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,43.071341 ,119.371359 ,295.405732 ,701.540636 ,1638.548319 ,3800.350690 ,8787.918641 ,20294.906702  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,0.329036,0.276701,0.307234,0.353011,0.471966,0.275343,0.264943,0.267414,0.258410 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,0.325804,0.278131,0.307293,0.353143,0.469823,0.276237,0.264943,0.267414,0.258410 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,0.323266,0.279276,0.307358,0.353252,0.467855,0.277059,0.264943,0.267414,0.258410 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,0.321170,0.280235,0.307425,0.353341,0.466036,0.277821,0.264943,0.267414,0.258410 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,0.319378,0.281057,0.307495,0.353415,0.464344,0.278530,0.264943,0.267414,0.258410 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,0.317822,0.281776,0.307567,0.353476,0.462764,0.279193,0.264943,0.267414,0.258410 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,0.316451,0.282415,0.307641,0.353524,0.461281,0.279817,0.264943,0.267414,0.258410 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,0.315217,0.282987,0.307716,0.353563,0.459885,0.280404,0.264943,0.267414,0.258410 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,0.314107,0.283505,0.307793,0.353593,0.458566,0.280960,0.264943,0.267414,0.258410 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,0.313102,0.283979,0.307870,0.353615,0.457316,0.281488,0.264943,0.267414,0.258410 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,0.312184,0.284415,0.307948,0.353630,0.456128,0.281989,0.264943,0.267414,0.258410 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,0.311339,0.284819,0.308026,0.353640,0.454998,0.282467,0.264943,0.267414,0.258410 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,0.310563,0.285197,0.308105,0.353644,0.453918,0.282924,0.264943,0.267414,0.258410 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,0.309728,0.285537,0.308166,0.353638,0.452886,0.283362,0.264943,0.267414,0.258410 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,0.308566,0.285782,0.308136,0.353598,0.451897,0.283781,0.264943,0.267414,0.258410 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,0.306027,0.285775,0.307868,0.353480,0.450947,0.284184,0.264943,0.267414,0.258410 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,0.301151,0.285445,0.307330,0.353275,0.450033,0.284572,0.264944,0.267414,0.258410 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,0.292911,0.284801,0.306595,0.353006,0.449152,0.284946,0.264944,0.267414,0.258410 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,0.281733,0.284033,0.305869,0.352738,0.448301,0.285306,0.264944,0.267414,0.258410 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,0.270308,0.283212,0.305189,0.352484,0.447478,0.285654,0.264944,0.267414,0.258410 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,0.263390,0.282481,0.304678,0.352283,0.446682,0.285990,0.264944,0.267414,0.258410 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,0.259777,0.282036,0.304470,0.352176,0.445911,0.286316,0.264944,0.267414,0.258410 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,0.256962,0.281603,0.304275,0.352072,0.445164,0.286631,0.264944,0.267414,0.258410 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,0.255733,0.281346,0.304248,0.352019,0.444440,0.286937,0.264944,0.267414,0.258410 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,0.255214,0.281171,0.304286,0.351985,0.443738,0.287234,0.264944,0.267414,0.258410 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,0.255038,0.281057,0.304364,0.351962,0.443056,0.287523,0.264944,0.267414,0.258410 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,0.254988,0.280964,0.304446,0.351939,0.442394,0.287803,0.264944,0.267414,0.258410 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,0.254997,0.280884,0.304527,0.351914,0.441750,0.288076,0.264944,0.267414,0.258410 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,0.255007,0.280812,0.304608,0.351887,0.441124,0.288342,0.264944,0.267414,0.258410 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,0.255074,0.280748,0.304688,0.351859,0.440513,0.288601,0.264944,0.267414,0.258410 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,0.255191,0.280691,0.304768,0.351830,0.439919,0.288853,0.264944,0.267414,0.258410 
11/04/2014 01:00,735700.041667,1.291667,1,1,1,0.255334,0.280641,0.304847,0.351799,0.439339,0.289099,0.264944,0.267414,0.258410 
11/04/2014 02:00,735700.083333,1.333333,1,1,1,0.255477,0.280595,0.304926,0.351767,0.438773,0.289340,0.264945,0.267414,0.258410 
11/04/2014 03:00,735700.125000,1.375000,1,1,1,0.255642,0.280554,0.305005,0.351734,0.438222,0.289575,0.264945,0.267414,0.258410 
11/04/2014 04:00,735700.166667,1.416667,1,1,1,0.255773,0.280515,0.305083,0.351700,0.437683,0.289805,0.264945,0.267414,0.258410 
11/04/2014 05:00,735700.208333,1.458333,1,1,1,0.255866,0.280478,0.305160,0.351665,0.437157,0.290029,0.264945,0.267414,0.258410 
11/04/2014 06:00,735700.250000,1.500000,1,1,1,0.255968,0.280443,0.305235,0.351629,0.436642,0.290249,0.264945,0.267414,0.258410 
11/04/2014 07:00,735700.291667,1.541667,1,1,1,0.256001,0.280388,0.305286,0.351584,0.436138,0.290464,0.264945,0.267414,0.258410 
11/04/2014 08:00,735700.333333,1.583333,1,1,1,0.255604,0.280272,0.305281,0.351522,0.435645,0.290674,0.264945,0.267414,0.258410 
11/04/2014 09:00,735700.375000,1.625000,1,1,1,0.254341,0.279986,0.305118,0.351409,0.435162,0.290880,0.264945,0.267414,0.258410 
11/04/2014 10:00,735700.416667,1.666667,1,1,1,0.252396,0.279560,0.304834,0.351257,0.434689,0.291082,0.264945,0.267414,0.258410 
11/04/2014 11:00,735700.458333,1.708333,1,1,1,0.251047,0.279280,0.304717,0.351158,0.434225,0.291280,0.264945,0.267414,0.258410 
11/04/2014 12:00,735700.500000,1.750000,1,1,1,0.248844,0.278792,0.304408,0.350999,0.433769,0.291474,0.264945,0.267414,0.258410 
11/04/2014 13:00,735700.541667,1.791667,1,1,1,0.244797,0.277997,0.303833,0.350755,0.433321,0.291665,0.264945,0.267414,0.258410 
11/04/2014 14:00,735700.583333,1.833333,1,1,1,0.241525,0.277334,0.303441,0.350570,0.432881,0.291851,0.264946,0.267414,0.258410 
11/04/2014 15:00,735700.625000,1.875000,1,1,1,0.238679,0.276689,0.303099,0.350401,0.432449,0.292035,0.264946,0.267414,0.258410 
11/04/2014 16:00,735700.666667,1.916667,1,1,1,0.236300,0.276082,0.302819,0.350252,0.432025,0.292215,0.264946,0.267414,0.258410 
11/04/2014 17:00,735700.708333,1.958333,1,1,1,0.234364,0.275509,0.302579,0.350115,0.431608,0.292392,0.264946,0.267414,0.258410 
11/04/2014 18:00,735700.750000,2.000000,1,1,1,0.234025,0.275212,0.302602,0.350062,0.431198,0.292566,0.264946,0.267414,0.258410 
11/04/2014 19:00,735700.791667,2.041667,1,1,1,0.234209,0.274992,0.302669,0.350023,0.430795,0.292737,0.264946,0.267414,0.258410 
11/04/2014 20:00,735700.833333,2.083333,1,1,1,0.234493,0.274804,0.302738,0.349984,0.430400,0.292905,0.264946,0.267414,0.258410 
11/04/2014 21:00,735700.875000,2.125000,1,1,1,0.234824,0.274639,0.302807,0.349945,0.430011,0.293070,0.264946,0.267414,0.258410 
11/04/2014 22:00,735700.916667,2.166667,1,1,1,0.235140,0.274490,0.302874,0.349906,0.429628,0.293232,0.264946,0.267414,0.258410 
11/04/2014 23:00,735700.958333,2.208333,1,1,1,0.235490,0.274356,0.302940,0.349867,0.429252,0.293392,0.264946,0.267414,0.258410 
12/04/2014 00:00,735701.000000,2.250000,1,1,1,0.235869,0.274236,0.303006,0.349827,0.428882,0.293550,0.264947,0.267414,0.258410 
12/04/2014 01:00,735701.041667,2.291667,1,1,1,0.236255,0.274127,0.303072,0.349786,0.428518,0.293705,0.264947,0.267414,0.258410 
12/04/2014 02:00,735701.083333,2.333333,1,1,1,0.236621,0.274027,0.303136,0.349746,0.428159,0.293857,0.264947,0.267414,0.258410 
12/04/2014 03:00,735701.125000,2.375000,1,1,1,0.236988,0.273936,0.303200,0.349705,0.427806,0.294008,0.264947,0.267414,0.258410 
12/04/2014 04:00,735701.166667,2.416667,1,1,1,0.237354,0.273854,0.303264,0.349664,0.427459,0.294156,0.264947,0.267414,0.258410 
12/04/2014 05:00,735701.208333,2.458333,1,1,1,0.237726,0.273780,0.303327,0.349623,0.427116,0.294301,0.264947,0.267414,0.258410 
12/04/2014 06:00,735701.250000,2.500000,1,1,1,0.238105,0.273713,0.303389,0.349582,0.426779,0.294445,0.264947,0.267414,0.258410 
12/04/2014 07:00,735701.291667,2.541667,1,1,1,0.238289,0.273619,0.303422,0.349531,0.426446,0.294587,0.264947,0.267414,0.258410 
12/04/2014 08:00,735701.333333,2.583333,1,1,1,0.237921,0.273416,0.303351,0.349448,0.426118,0.294726,0.264947,0.267414,0.258410 
12/04/2014 09:00,735701.375000,2.625000,1,1,1,0.237016,0.273122,0.303203,0.349341,0.425795,0.294864,0.264948,0.267414,0.258410 
12/04/2014 10:00,735701.416667,2.666667,1,1,1,0.235626,0.272740,0.302988,0.349213,0.425475,0.295000,0.264948,0.267414,0.258410 
12/04/2014 11:00,735701.458333,2.708333,1,1,1,0.232766,0.272038,0.302485,0.348994,0.425160,0.295134,0.264948,0.267414,0.258410 
12/04/2014 12:00,735701.500000,2.750000,1,1,1,0.229060,0.271205,0.301906,0.348752,0.424848,0.295266,0.264948,0.267414,0.258410 
12/04/2014 13:00,735701.541667,2.791667,1,1,1,0.223974,0.270112,0.301135,0.348449,0.424540,0.295397,0.264948,0.267414,0.258410 
12/04/2014 14:00,735701.583333,2.833333,1,1,1,0.217884,0.268818,0.300260,0.348113,0.424235,0.295525,0.264948,0.267414,0.258410 
12/04/2014 15:00,735701.625000,2.875000,1,1,1,0.213915,0.267710,0.299654,0.347863,0.423933,0.295652,0.264948,0.267414,0.258410 
12/04/2014 16:00,735701.666667,2.916667,1,1,1,0.210340,0.266543,0.299026,0.347607,0.423635,0.295778,0.264948,0.267414,0.258410 
12/04/2014 17:00,735701.708333,2.958333,1,1,1,0.207940,0.265538,0.298576,0.347407,0.423340,0.295901,0.264949,0.267414,0.258410 
12/04/2014 18:00,735701.750000,3.000000,1,1,1,0.207579,0.264969,0.298528,0.347335,0.423048,0.296024,0.264949,0.267414,0.258410 
12/04/2014 19:00,735701.791667,3.041667,1,1,1,0.208079,0.264572,0.298577,0.347294,0.422760,0.296145,0.264949,0.267414,0.258410 
12/04/2014 20:00,735701.833333,3.083333,1,1,1,0.208711,0.264245,0.298630,0.347255,0.422476,0.296264,0.264949,0.267414,0.258410 
12/04/2014 21:00,735701.875000,3.125000,1,1,1,0.209333,0.263967,0.298682,0.347216,0.422195,0.296382,0.264949,0.267414,0.258410 
12/04/2014 22:00,735701.916667,3.166667,1,1,1,0.209935,0.263727,0.298733,0.347176,0.421918,0.296498,0.264949,0.267414,0.258410 
12/04/2014 23:00,735701.958333,3.208333,1,1,1,0.210501,0.263516,0.298783,0.347137,0.421644,0.296613,0.264949,0.267414,0.258410 
13/04/2014 00:00,735702.000000,3.250000,1,1,1,0.211056,0.263330,0.298833,0.347097,0.421373,0.296727,0.264949,0.267414,0.258410 
13/04/2014 01:00,735702.041667,3.291667,1,1,1,0.211590,0.263164,0.298883,0.347057,0.421105,0.296839,0.264950,0.267414,0.258410 
13/04/2014 02:00,735702.083333,3.333333,1,1,1,0.212094,0.263014,0.298933,0.347017,0.420841,0.296951,0.264950,0.267414,0.258410 
13/04/2014 03:00,735702.125000,3.375000,1,1,1,0.212592,0.262880,0.298982,0.346977,0.420579,0.297060,0.264950,0.267414,0.258410 
13/04/2014 04:00,735702.166667,3.416667,1,1,1,0.213074,0.262760,0.299032,0.346937,0.420321,0.297169,0.264950,0.267414,0.258410 
13/04/2014 05:00,735702.208333,3.458333,1,1,1,0.213544,0.262651,0.299081,0.346897,0.420065,0.297277,0.264950,0.267414,0.258410 
13/04/2014 06:00,735702.250000,3.500000,1,1,1,0.213987,0.262552,0.299130,0.346856,0.419812,0.297383,0.264950,0.267414,0.258410 
13/04/2014 07:00,735702.291667,3.541667,1,1,1,0.214330,0.262439,0.299157,0.346809,0.419562,0.297488,0.264950,0.267414,0.258410 
13/04/2014 08:00,735702.333333,3.583333,1,1,1,0.214350,0.262204,0.299060,0.346723,0.419314,0.297592,0.264951,0.267414,0.258410 
13/04/2014 09:00,735702.375000,3.625000,1,1,1,0.213224,0.261654,0.298668,0.346544,0.419069,0.297695,0.264951,0.267414,0.258410 
13/04/2014 10:00,735702.416667,3.666667,1,1,1,0.210220,0.260731,0.297946,0.346261,0.418826,0.297797,0.264951,0.267414,0.258410 
13/04/2014 11:00,735702.458333,3.708333,1,1,1,0.204974,0.259516,0.297010,0.345910,0.418585,0.297897,0.264951,0.267414,0.258410 
13/04/2014 12:00,735702.500000,3.750000,1,1,1,0.198046,0.258205,0.296107,0.345569,0.418345,0.297997,0.264951,0.267414,0.258410 
13/04/2014 13:00,735702.541667,3.791667,1,1,1,0.190601,0.256759,0.295259,0.345246,0.418107,0.298096,0.264951,0.267414,0.258410 
13/04/2014 14:00,735702.583333,3.833333,1,1,1,0.184000,0.255136,0.294436,0.344933,0.417871,0.298193,0.264951,0.267414,0.258410 
13/04/2014 15:00,735702.625000,3.875000,1,1,1,0.178934,0.253336,0.293587,0.344612,0.417637,0.298290,0.264952,0.267414,0.258410 
13/04/2014 16:00,735702.666667,3.916667,1,1,1,0.177430,0.251788,0.293008,0.344377,0.417404,0.298386,0.264952,0.267414,0.258410 
13/04/2014 17:00,735702.708333,3.958333,1,1,1,0.177754,0.250842,0.292884,0.344288,0.417173,0.298481,0.264952,0.267414,0.258410 
13/04/2014 18:00,735702.750000,4.000000,1,1,1,0.178719,0.250184,0.292887,0.344239,0.416945,0.298574,0.264952,0.267414,0.258410 
13/04/2014 19:00,735702.791667,4.041667,1,1,1,0.179841,0.249685,0.292917,0.344199,0.416719,0.298667,0.264952,0.267414,0.258410 
13/04/2014 20:00,735702.833333,4.083333,1,1,1,0.180887,0.249287,0.292950,0.344161,0.416495,0.298759,0.264952,0.267414,0.258410 
13/04/2014 21:00,735702.875000,4.125000,1,1,1,0.181880,0.248967,0.292983,0.344123,0.416274,0.298850,0.264952,0.267414,0.258410 
13/04/2014 22:00,735702.916667,4.166667,1,1,1,0.182757,0.248696,0.293015,0.344084,0.416054,0.298941,0.264953,0.267414,0.258410 
13/04/2014 23:00,735702.958333,4.208333,1,1,1,0.183571,0.248468,0.293047,0.344045,0.415837,0.299030,0.264953,0.267414,0.258410 
14/04/2014 00:00,735703.000000,4.250000,1,1,1,0.184322,0.248273,0.293080,0.344007,0.415621,0.299119,0.264953,0.267414,0.258410 
14/04/2014 01:00,735703.041667,4.291667,1,1,1,0.185012,0.248104,0.293112,0.343968,0.415408,0.299206,0.264953,0.267414,0.258410 
14/04/2014 02:00,735703.083333,4.333333,1,1,1,0.185673,0.247960,0.293145,0.343929,0.415196,0.299293,0.264953,0.267414,0.258410 
14/04/2014 03:00,735703.125000,4.375000,1,1,1,0.186291,0.247835,0.293179,0.343890,0.414986,0.299379,0.264953,0.267414,0.258410 
14/04/2014 04:00,735703.166667,4.416667,1,1,1,0.186880,0.247729,0.293213,0.343851,0.414779,0.299465,0.264954,0.267414,0.258410 
14/04/2014 05:00,735703.208333,4.458333,1,1,1,0.187399,0.247632,0.293247,0.343812,0.414573,0.299549,0.264954,0.267414,0.258410 
14/04/2014 06:00,735703.250000,4.500000,1,1,1,0.187894,0.247549,0.293280,0.343773,0.414369,0.299633,0.264954,0.267414,0.258410 
14/04/2014 07:00,735703.291667,4.541667,1,1,1,0.188196,0.247473,0.293313,0.343733,0.414167,0.299716,0.264954,0.267414,0.258410 
14/04/2014 08:00,735703.333333,4.583333,1,1,1,0.188060,0.247326,0.293268,0.343670,0.413966,0.299799,0.264954,0.267414,0.258410 
14/04/2014 09:00,735703.375000,4.625000,1,1,1,0.187417,0.246991,0.293028,0.343544,0.413767,0.299881,0.264954,0.267414,0.258410 
14/04/2014 10:00,735703.416667,4.666667,1,1,1,0.186017,0.246423,0.292564,0.343348,0.413570,0.299962,0.264955,0.267414,0.258410 
14/04/2014 11:00,735703.458333,4.708333,1,1,1,0.183092,0.245461,0.291726,0.343033,0.413373,0.300042,0.264955,0.267414,0.258410 
14/04/2014 12:00,735703.500000,4.750000,1,1,1,0.179109,0.244268,0.290715,0.342663,0.413178,0.300121,0.264955,0.267414,0.258410 
14/04/2014 13:00,735703.541667,4.791667,1,1,1,0.174298,0.242859,0.289568,0.342249,0.412983,0.300200,0.264955,0.267414,0.258410 
14/04/2014 14:00,735703.583333,4.833333,1,1,1,0.170837,0.241508,0.288601,0.341893,0.412789,0.300279,0.264955,0.267414,0.258410 
14/04/2014 15:00,735703.625000,4.875000,1,1,1,0.169078,0.240440,0.287968,0.341642,0.412597,0.300356,0.264955,0.267414,0.258410 
14/04/2014 16:00,735703.666667,4.916667,1,1,1,0.166742,0.239159,0.287086,0.341313,0.412405,0.300433,0.264956,0.267414,0.258410 
14/04/2014 17:00,735703.708333,4.958333,1,1,1,0.166309,0.238513,0.286898,0.341203,0.412214,0.300510,0.264956,0.267414,0.258410 
14/04/2014 18:00,735703.750000,5.000000,1,1,1,0.166563,0.238115,0.286911,0.341157,0.412025,0.300585,0.264956,0.267414,0.258410 
14/04/2014 19:00,735703.791667,5.041667,1,1,1,0.167191,0.237819,0.286950,0.341120,0.411838,0.300660,0.264956,0.267414,0.258410 
14/04/2014 20:00,735703.833333,5.083333,1,1,1,0.167952,0.237589,0.286989,0.341083,0.411652,0.300735,0.264956,0.267414,0.258410 
14/04/2014 21:00,735703.875000,5.125000,1,1,1,0.168695,0.237407,0.287029,0.341046,0.411467,0.300809,0.264956,0.267414,0.258410 
14/04/2014 22:00,735703.916667,5.166667,1,1,1,0.169388,0.237258,0.287069,0.341009,0.411285,0.300882,0.264957,0.267414,0.258410 
14/04/2014 23:00,735703.958333,5.208333,1,1,1,0.170052,0.237136,0.287109,0.340971,0.411103,0.300955,0.264957,0.267414,0.258410 
15/04/2014 00:00,735704.000000,5.250000,1,1,1,0.170685,0.237035,0.287150,0.340934,0.410923,0.301027,0.264957,0.267414,0.258410 
15/04/2014 01:00,735704.041667,5.291667,1,1,1,0.171285,0.236952,0.287191,0.340897,0.410744,0.301098,0.264957,0.267414,0.258410 
15/04/2014 02:00,735704.083333,5.333333,1,1,1,0.171864,0.236883,0.287233,0.340860,0.410567,0.301169,0.264957,0.267414,0.258410 
15/04/2014 03:00,735704.125000,5.375000,1,1,1,0.172349,0.236824,0.287275,0.340823,0.410391,0.301240,0.264957,0.267414,0.258410 
15/04/2014 04:00,735704.166667,5.416667,1,1,1,0.168128,0.236730,0.287316,0.340786,0.410216,0.301310,0.264958,0.267414,0.258410 
15/04/2014 05:00,735704.208333,5.458333,1,1,1,0.162872,0.236551,0.287357,0.340750,0.410043,0.301379,0.264958,0.267414,0.258410 
15/04/2014 06:00,735704.250000,5.500000,1,1,1,0.159361,0.236281,0.287398,0.340713,0.409871,0.301448,0.264958,0.267414,0.258410 
15/04/2014 07:00,735704.291667,5.541667,1,1,1,0.163189,0.236044,0.287436,0.340677,0.409700,0.301516,0.264958,0.267414,0.258410 
15/04/2014 08:00,735704.333333,5.583333,1,1,1,0.175756,0.235926,0.287369,0.340607,0.409530,0.301584,0.264958,0.267414,0.258410 
