Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,Prain_below_canopy[mm],Psnow_below_canopy[mm],Prain_above_canopy[mm],Prain_above_canopy[mm],Pnet[mm],Tair[C],Tsurface[C],Tvegetation[C],Evap_surface[mm],Transpiration_canopy[mm],LE[W/m2],H[W/m2],SW[W/m2],LW[W/m2],LEv[W/m2],Hv[W/m2],SWv[W/m2],LWv[W/m2],SWin[W/m2],LWin[W/m2],Mass_balance_error[mm],Mean_Time_Step[s]
09/04/2014 19:00,735698.791667,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,3.291169,2.307431,0.004536,0.000654,3.140871,-0.859773,4.926678,-16.119663,0.453480,-12.400201,9.323971,-17.297775,12.513184,300.001155,0.000000,900.000000
09/04/2014 20:00,735698.833333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,2.637958,1.666577,0.003599,0.000000,2.493312,-1.868868,0.000000,-14.686967,0.000000,-14.239343,0.000000,-14.866749,0.000000,300.001155,0.000000,900.000000
09/04/2014 21:00,735698.875000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,2.334603,1.454686,0.003118,0.000000,2.160728,-2.439421,0.000000,-13.809756,0.000000,-14.477649,0.000000,-14.715556,0.000000,300.001155,0.000000,900.000000
09/04/2014 22:00,735698.916667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,2.135097,1.335510,0.002808,0.000000,1.946339,-2.829754,0.000000,-13.181591,0.000000,-14.576264,0.000000,-14.731434,0.000000,300.001155,0.000000,900.000000
09/04/2014 23:00,735698.958333,0.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1.987020,1.251135,0.002582,0.000000,1.789937,-3.117149,0.000000,-12.703606,0.000000,-14.649250,0.000000,-14.763682,0.000000,300.001155,0.000000,900.000000
10/04/2014 00:00,735699.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1.871621,1.187042,0.002408,0.000000,1.669443,-3.338139,0.000000,-12.325255,0.000000,-14.709525,0.000000,-14.798026,0.000000,300.001155,0.000000,900.000000
10/04/2014 01:00,735699.041667,0.291667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1.779314,1.139001,0.002269,0.000000,1.573248,-3.513856,0.000000,-12.008943,0.000000,-14.748442,0.000000,-14.851106,0.000000,300.001155,0.000000,900.000000
10/04/2014 02:00,735699.083333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1.703443,1.100424,0.002154,0.000000,1.494040,-3.654263,0.000000,-11.740446,0.000000,-14.783964,0.000000,-14.901617,0.000000,300.001155,0.000000,900.000000
10/04/2014 03:00,735699.125000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1.639354,1.067085,0.002058,0.000000,1.427323,-3.768594,0.000000,-11.512885,0.000000,-14.825452,0.000000,-14.936930,0.000000,300.001155,0.000000,900.000000
10/04/2014 04:00,735699.166667,0.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1.583924,1.037978,0.001975,0.000000,1.369829,-3.864503,0.000000,-11.314463,0.000000,-14.868430,0.000000,-14.964864,0.000000,300.001155,0.000000,900.000000
10/04/2014 05:00,735699.208333,0.458333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1.535241,1.012812,0.001902,0.000000,1.319513,-3.947074,0.000000,-11.137156,0.000000,-14.908456,0.000000,-14.992650,0.000000,300.001155,0.000000,900.000000
10/04/2014 06:00,735699.250000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1.498703,1.006800,0.001843,0.000006,1.278609,-4.022539,0.171733,-10.967568,0.004500,-14.856752,0.330197,-15.148446,0.441913,300.001155,0.000000,900.000000
10/04/2014 07:00,735699.291667,0.541667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,2.073281,2.329615,0.002109,0.002520,1.462457,-4.346364,11.855371,-10.240782,1.745323,-7.713391,22.846582,-25.276165,30.560105,300.001155,0.000000,900.000000
10/04/2014 08:00,735699.333333,0.583333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,4.074175,5.713128,0.003364,0.019121,2.329402,-4.685310,40.070154,-10.725870,13.207410,11.553425,77.605260,-48.538468,103.638236,300.001155,0.000000,900.000000
10/04/2014 09:00,735699.375000,0.625000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,6.417846,8.377970,0.009082,0.049575,6.276246,-1.020771,69.323256,-14.626968,34.162753,33.655051,134.380041,-63.461551,179.459665,300.001155,0.000000,900.000000
10/04/2014 10:00,735699.416667,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,8.468139,10.453946,0.016779,0.080650,11.574928,7.612085,95.419010,-18.773729,55.470484,52.427849,184.158539,-73.675979,246.486697,300.001155,0.000000,900.000000
10/04/2014 11:00,735699.458333,0.708333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,10.094513,11.972207,0.024691,0.107027,17.008000,17.161734,115.742562,-22.459268,73.507230,66.420185,222.147765,-80.232172,298.161768,300.001155,0.000000,900.000000
10/04/2014 12:00,735699.500000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,11.244488,12.942277,0.031308,0.125081,21.541473,25.287644,128.257459,-25.369662,85.827820,74.638872,245.277158,-83.465521,329.868549,300.001155,0.000000,900.000000
