Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,43.071341 ,119.371359 ,295.405732 ,701.540636 ,1638.548319 ,3800.350690 ,8787.918641 ,20294.906702  
09/04/2014 18:00,735698.750000,0.000000,1,0,1,-847.520602,-2627.464631,-1317.613520,-542.875924,-89.223157,-2715.629972,-3522.471222,-3307.240341,-4177.544945 
09/04/2014 19:00,735698.791667,0.041667,1,0,1,-903.428152,-2537.797575,-1315.973011,-541.607808,-91.813348,-2657.235854,-3522.468415,-3307.240537,-4177.544732 
09/04/2014 20:00,735698.833333,0.083333,1,0,1,-950.128140,-2468.721265,-1314.174360,-540.558338,-94.266057,-2604.833161,-3522.465295,-3307.240734,-4177.544518 
09/04/2014 21:00,735698.875000,0.125000,1,0,1,-990.780632,-2412.694984,-1312.288244,-539.694053,-96.598412,-2557.411074,-3522.461872,-3307.240930,-4177.544305 
09/04/2014 22:00,735698.916667,0.166667,1,0,1,-1026.941966,-2365.739065,-1310.332445,-538.984985,-98.824353,-2514.186967,-3522.458154,-3307.241126,-4177.544092 
09/04/2014 23:00,735698.958333,0.208333,1,0,1,-1059.574529,-2325.463905,-1308.320754,-538.407392,-100.955392,-2474.543544,-3522.454147,-3307.241323,-4177.543878 
10/04/2014 00:00,735699.000000,0.250000,1,0,1,-1089.340368,-2290.307136,-1306.264244,-537.942184,-103.001164,-2437.986049,-3522.449859,-3307.241519,-4177.543665 
10/04/2014 01:00,735699.041667,0.291667,1,0,1,-1116.720323,-2259.189884,-1304.172002,-537.573807,-104.969822,-2404.112355,-3522.445296,-3307.241715,-4177.543452 
10/04/2014 02:00,735699.083333,0.333333,1,0,1,-1142.075886,-2231.336586,-1302.051610,-537.289445,-106.868334,-2372.591563,-3522.440463,-3307.241912,-4177.543238 
10/04/2014 03:00,735699.125000,0.375000,1,0,1,-1165.687000,-2206.171667,-1299.909469,-537.078427,-108.702708,-2343.148400,-3522.435366,-3307.242108,-4177.543025 
10/04/2014 04:00,735699.166667,0.416667,1,0,1,-1187.775064,-2183.256488,-1297.751029,-536.931789,-110.478167,-2315.551614,-3522.430010,-3307.242304,-4177.542811 
10/04/2014 05:00,735699.208333,0.458333,1,0,1,-1208.519230,-2162.249159,-1295.580956,-536.841940,-112.199281,-2289.605224,-3522.424400,-3307.242500,-4177.542598 
10/04/2014 06:00,735699.250000,0.500000,1,0,1,-1228.078516,-2142.877492,-1293.403698,-536.802451,-113.870075,-2265.141815,-3522.418541,-3307.242697,-4177.542385 
10/04/2014 07:00,735699.291667,0.541667,1,0,1,-1247.972231,-2125.088178,-1291.394269,-536.826846,-115.494125,-2242.017340,-3522.412436,-3307.242893,-4177.542171 
10/04/2014 08:00,735699.333333,0.583333,1,0,1,-1274.941243,-2110.194487,-1290.523803,-537.017391,-117.074702,-2220.107054,-3522.406090,-3307.243089,-4177.541958 
10/04/2014 09:00,735699.375000,0.625000,1,0,1,-1318.902385,-2100.158620,-1291.750198,-537.474673,-118.614874,-2199.302323,-3522.399506,-3307.243285,-4177.541745 
10/04/2014 10:00,735699.416667,0.666667,1,0,1,-1383.904046,-2095.674404,-1295.127739,-538.199018,-120.117452,-2179.508054,-3522.392689,-3307.243482,-4177.541531 
10/04/2014 11:00,735699.458333,0.708333,1,0,1,-1471.729832,-2096.692190,-1300.352994,-539.151146,-121.584957,-2160.640571,-3522.385642,-3307.243678,-4177.541318 
10/04/2014 12:00,735699.500000,0.750000,1,0,1,-1580.903847,-2102.430325,-1306.871919,-540.264746,-123.019623,-2142.625879,-3522.378368,-3307.243874,-4177.541105 
10/04/2014 13:00,735699.541667,0.791667,1,0,1,-1707.179408,-2111.484980,-1313.962287,-541.456456,-124.423407,-2125.398218,-3522.370870,-3307.244070,-4177.540891 
10/04/2014 14:00,735699.583333,0.833333,1,0,1,-1843.457582,-2122.074729,-1320.822324,-542.636221,-125.798006,-2108.898884,-3522.363152,-3307.244267,-4177.540678 
10/04/2014 15:00,735699.625000,0.875000,1,0,1,-1979.877218,-2132.314498,-1326.660074,-543.717088,-127.144882,-2093.075240,-3522.355216,-3307.244463,-4177.540464 
10/04/2014 16:00,735699.666667,0.916667,1,0,1,-2104.804458,-2140.469707,-1330.779476,-544.623983,-128.465296,-2077.879898,-3522.347065,-3307.244659,-4177.540251 
