Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,43.071341 ,119.371359 ,295.405732 ,701.540636 ,1638.548319 ,3800.350690 ,8787.918641 ,20294.906702  
09/04/2014 18:00,735698.750000,0.000000,1,0,1,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000 
09/04/2014 19:00,735698.791667,0.041667,1,0,1,3.553540,3.898289,3.995360,3.999948,3.996847,0.003110,0.000000,0.000000,0.000000 
09/04/2014 20:00,735698.833333,0.083333,1,0,1,2.937483,3.596124,3.967395,3.999502,3.991819,0.008057,0.000000,0.000000,0.000000 
09/04/2014 21:00,735698.875000,0.125000,1,0,1,2.600363,3.293642,3.912163,3.998132,3.986811,0.012967,0.000001,0.000000,0.000000 
09/04/2014 22:00,735698.916667,0.166667,1,0,1,2.377451,3.050951,3.838400,3.995435,3.981820,0.017843,0.000001,0.000000,0.000000 
09/04/2014 23:00,735698.958333,0.208333,1,0,1,2.211852,2.860005,3.754309,3.991191,3.976841,0.022685,0.000002,0.000000,0.000000 
10/04/2014 00:00,735699.000000,0.250000,1,0,1,2.082754,2.707131,3.665597,3.985319,3.971868,0.027496,0.000003,0.000000,0.000000 
10/04/2014 01:00,735699.041667,0.291667,1,0,1,1.979234,2.581816,3.575971,3.977821,3.966896,0.032277,0.000004,0.000000,0.000000 
10/04/2014 02:00,735699.083333,0.333333,1,0,1,1.894048,2.476703,3.487763,3.968758,3.961920,0.037029,0.000005,0.000000,0.000000 
10/04/2014 03:00,735699.125000,0.375000,1,0,1,1.822157,2.386639,3.402379,3.958221,3.956935,0.041754,0.000007,0.000000,0.000000 
10/04/2014 04:00,735699.166667,0.416667,1,0,1,1.760001,2.307927,3.320610,3.946316,3.951937,0.046452,0.000009,0.000000,0.000000 
10/04/2014 05:00,735699.208333,0.458333,1,0,1,1.705380,2.238031,3.242840,3.933160,3.946920,0.051124,0.000010,0.000000,0.000000 
10/04/2014 06:00,735699.250000,0.500000,1,0,1,1.659911,2.175600,3.169215,3.918867,3.941882,0.055771,0.000012,0.000000,0.000000 
10/04/2014 07:00,735699.291667,0.541667,1,0,1,1.983044,2.193092,3.102885,3.903576,3.936818,0.060394,0.000015,0.000000,0.000000 
10/04/2014 08:00,735699.333333,0.583333,1,0,1,3.437689,2.619552,3.070793,3.887734,3.931726,0.064993,0.000017,0.000000,0.000000 
10/04/2014 09:00,735699.375000,0.625000,1,0,1,5.423050,3.545164,3.118578,3.872592,3.926607,0.069568,0.000019,0.000000,0.000000 
10/04/2014 10:00,735699.416667,0.666667,1,0,1,7.308272,4.728690,3.270209,3.860033,3.921468,0.074122,0.000022,0.000000,0.000000 
10/04/2014 11:00,735699.458333,0.708333,1,0,1,8.896028,5.945449,3.521606,3.851996,3.916322,0.078653,0.000025,0.000000,0.000000 
10/04/2014 12:00,735699.500000,0.750000,1,0,1,10.101931,7.050888,3.852054,3.850063,3.911188,0.083162,0.000028,0.000000,0.000000 
10/04/2014 13:00,735699.541667,0.791667,1,0,1,10.876917,7.954861,4.233073,3.855259,3.906089,0.087650,0.000031,0.000000,0.000000 
10/04/2014 14:00,735699.583333,0.833333,1,0,1,11.191278,8.599260,4.633460,3.867984,3.901052,0.092118,0.000035,0.000000,0.000000 
10/04/2014 15:00,735699.625000,0.875000,1,0,1,11.033412,8.947290,5.022131,3.888015,3.896102,0.096565,0.000038,0.000000,0.000000 
10/04/2014 16:00,735699.666667,0.916667,1,0,1,10.415026,8.979748,5.369943,3.914551,3.891263,0.100993,0.000042,0.000000,0.000000 
10/04/2014 17:00,735699.708333,0.958333,1,0,1,9.368608,8.694136,5.651125,3.946288,3.886554,0.105402,0.000046,0.000000,0.000000 
10/04/2014 18:00,735699.750000,1.000000,1,0,1,7.950396,8.103453,5.844331,3.981508,3.881990,0.109792,0.000050,0.000000,0.000000 
10/04/2014 19:00,735699.791667,1.041667,1,0,1,6.343273,7.257817,5.934509,4.018200,3.877577,0.114163,0.000054,0.000000,0.000000 
