Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,43.071341 ,119.371359 ,295.405732 ,701.540636 ,1638.548319 ,3800.350690 ,8787.918641 ,20294.906702  
09/04/2014 18:00,735698.750000,0.000000,1,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000 
09/04/2014 19:00,735698.791667,0.041667,1,0,1,0.325763,0.278140,0.307293,0.353142,0.469824,0.276236,0.264943,0.267414,0.258410 
09/04/2014 20:00,735698.833333,0.083333,1,0,1,0.323209,0.279290,0.307357,0.353251,0.467856,0.277059,0.264943,0.267414,0.258410 
09/04/2014 21:00,735698.875000,0.125000,1,0,1,0.321104,0.280252,0.307425,0.353341,0.466037,0.277820,0.264943,0.267414,0.258410 
09/04/2014 22:00,735698.916667,0.166667,1,0,1,0.319318,0.281079,0.307496,0.353415,0.464346,0.278529,0.264943,0.267414,0.258410 
09/04/2014 23:00,735698.958333,0.208333,1,0,1,0.317768,0.281804,0.307569,0.353475,0.462767,0.279192,0.264943,0.267414,0.258410 
10/04/2014 00:00,735699.000000,0.250000,1,0,1,0.316404,0.282449,0.307643,0.353524,0.461285,0.279814,0.264943,0.267414,0.258410 
10/04/2014 01:00,735699.041667,0.291667,1,0,1,0.315188,0.283030,0.307719,0.353562,0.459890,0.280402,0.264943,0.267414,0.258410 
10/04/2014 02:00,735699.083333,0.333333,1,0,1,0.314094,0.283559,0.307796,0.353592,0.458572,0.280957,0.264943,0.267414,0.258410 
10/04/2014 03:00,735699.125000,0.375000,1,0,1,0.313100,0.284043,0.307874,0.353614,0.457324,0.281484,0.264943,0.267414,0.258410 
10/04/2014 04:00,735699.166667,0.416667,1,0,1,0.312192,0.284490,0.307953,0.353630,0.456138,0.281985,0.264943,0.267414,0.258410 
10/04/2014 05:00,735699.208333,0.458333,1,0,1,0.311357,0.284904,0.308033,0.353639,0.455008,0.282462,0.264943,0.267414,0.258410 
10/04/2014 06:00,735699.250000,0.500000,1,0,1,0.310586,0.285291,0.308113,0.353643,0.453930,0.282919,0.264944,0.267414,0.258410 
