Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,43.071341 ,119.371359 ,295.405732 ,701.540636 ,1638.548319 ,3800.350690 ,8787.918641 ,20294.906702  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,3.289984,3.828944,3.991818,3.999933,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,2.635378,3.445822,3.951902,3.999340,3.999999,4.000000,4.000000,4.000000,4.000000 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,2.267375,3.095203,3.880727,3.997588,3.999993,4.000000,4.000000,4.000000,4.000000 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,1.968796,2.805653,3.788815,3.994227,3.999978,4.000000,4.000000,4.000000,4.000000 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,1.714760,2.555976,3.683671,3.988998,3.999948,4.000000,4.000000,4.000000,4.000000 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,1.507440,2.341403,3.570780,3.981765,3.999896,4.000000,4.000000,4.000000,4.000000 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,1.278303,2.143139,3.453708,3.972481,3.999815,4.000000,4.000000,4.000000,4.000000 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,1.073126,1.950507,3.333541,3.961139,3.999698,3.999999,4.000000,4.000000,4.000000 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,0.919572,1.779431,3.212252,3.947758,3.999538,3.999999,4.000000,4.000000,4.000000 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,0.796260,1.633007,3.092396,3.932407,3.999328,3.999999,4.000000,4.000000,4.000000 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,0.683373,1.504009,2.975716,3.915193,3.999063,3.999998,4.000000,4.000000,4.000000 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,0.656167,1.401113,2.863611,3.896244,3.998735,3.999997,4.000000,4.000000,4.000000 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,1.391055,1.504262,2.767030,3.875802,3.998340,3.999995,4.000000,4.000000,4.000000 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,3.749938,2.235895,2.730373,3.854692,3.997874,3.999994,4.000000,4.000000,4.000000 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,8.274441,4.085271,2.840505,3.835112,3.997340,3.999991,4.000000,4.000000,4.000000 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,13.746481,6.996078,3.190247,3.821070,3.996750,3.999988,4.000000,4.000000,4.000000 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,18.802808,10.421292,3.819329,3.817679,3.996137,3.999985,4.000000,4.000000,4.000000 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,22.735032,13.732571,4.697887,3.829803,3.995546,3.999981,4.000000,4.000000,4.000000 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,24.044014,16.213288,5.735681,3.860847,3.995040,3.999977,4.000000,4.000000,4.000000 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,20.810379,16.836540,6.763114,3.911418,3.994687,3.999972,4.000000,4.000000,4.000000 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,17.217537,15.805168,7.588269,3.978264,3.994548,3.999967,4.000000,4.000000,4.000000 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,15.924507,14.644540,8.173144,4.056254,3.994667,3.999962,4.000000,4.000000,4.000000 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,14.049581,13.644179,8.575652,4.141106,3.995072,3.999958,4.000000,4.000000,4.000000 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,11.550742,12.333191,8.802986,4.229236,3.995779,3.999954,4.000000,4.000000,4.000000 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,9.265763,10.850128,8.856224,4.317125,3.996790,3.999950,4.000000,4.000000,4.000000 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,7.650592,9.462998,8.760352,4.401661,3.998097,3.999948,4.000000,4.000000,4.000000 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,6.762554,8.388606,8.561956,4.480583,3.999680,3.999947,4.000000,4.000000,4.000000 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,6.134737,7.605378,8.307727,4.552649,4.001518,3.999948,4.000000,4.000000,4.000000 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,5.541526,6.978011,8.025955,4.617341,4.003583,3.999951,4.000000,4.000000,4.000000 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,5.006045,6.433311,7.730656,4.674522,4.005849,3.999955,4.000000,4.000000,4.000000 
11/04/2014 01:00,735700.041667,1.291667,1,1,1,4.555813,5.955557,7.430584,4.724256,4.008288,3.999962,4.000000,4.000000,4.000000 
11/04/2014 02:00,735700.083333,1.333333,1,1,1,4.138544,5.528400,7.131933,4.766744,4.010875,3.999971,4.000000,4.000000,4.000000 
11/04/2014 03:00,735700.125000,1.375000,1,1,1,3.793938,5.144226,6.838468,4.802269,4.013584,3.999983,4.000000,4.000000,4.000000 
