Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,43.071341 ,119.371359 ,295.405732 ,701.540636 ,1638.548319 ,3800.350690 ,8787.918641 ,20294.906702  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,0.329036,0.276701,0.307234,0.353011,0.471966,0.275343,0.264943,0.267414,0.258410 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,0.325942,0.278142,0.307295,0.353143,0.469823,0.276237,0.264943,0.267414,0.258410 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,0.323500,0.279301,0.307360,0.353252,0.467855,0.277059,0.264943,0.267414,0.258410 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,0.321482,0.280275,0.307429,0.353342,0.466036,0.277821,0.264943,0.267414,0.258410 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,0.319764,0.281114,0.307501,0.353415,0.464344,0.278530,0.264943,0.267414,0.258410 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,0.318275,0.281851,0.307575,0.353476,0.462764,0.279193,0.264943,0.267414,0.258410 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,0.316965,0.282507,0.307650,0.353524,0.461281,0.279817,0.264943,0.267414,0.258410 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,0.315797,0.283097,0.307727,0.353563,0.459885,0.280404,0.264943,0.267414,0.258410 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,0.314748,0.283633,0.307805,0.353593,0.458566,0.280960,0.264943,0.267414,0.258410 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,0.313800,0.284125,0.307884,0.353615,0.457316,0.281488,0.264943,0.267414,0.258410 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,0.312935,0.284580,0.307964,0.353631,0.456128,0.281989,0.264943,0.267414,0.258410 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,0.312142,0.285002,0.308044,0.353640,0.454998,0.282467,0.264943,0.267414,0.258410 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,0.311409,0.285396,0.308125,0.353644,0.453918,0.282924,0.264943,0.267414,0.258410 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,0.310666,0.285757,0.308190,0.353639,0.452886,0.283362,0.264943,0.267414,0.258410 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,0.309747,0.286027,0.308167,0.353601,0.451897,0.283781,0.264943,0.267414,0.258410 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,0.307958,0.286038,0.307882,0.353478,0.450947,0.284184,0.264943,0.267414,0.258410 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,0.304742,0.285738,0.307309,0.353261,0.450033,0.284572,0.264944,0.267414,0.258410 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,0.299615,0.285190,0.306560,0.352988,0.449152,0.284946,0.264944,0.267414,0.258410 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,0.292979,0.284578,0.305854,0.352727,0.448300,0.285306,0.264944,0.267414,0.258410 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,0.286349,0.283906,0.305184,0.352476,0.447477,0.285654,0.264944,0.267414,0.258410 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,0.282185,0.283332,0.304663,0.352271,0.446681,0.285990,0.264944,0.267414,0.258410 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,0.279976,0.283064,0.304454,0.352163,0.445911,0.286316,0.264944,0.267414,0.258410 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,0.278153,0.282798,0.304247,0.352054,0.445164,0.286631,0.264944,0.267414,0.258410 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,0.277359,0.282718,0.304221,0.352001,0.444440,0.286937,0.264944,0.267414,0.258410 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,0.276987,0.282712,0.304263,0.351966,0.443738,0.287234,0.264944,0.267414,0.258410 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,0.276818,0.282756,0.304349,0.351944,0.443056,0.287523,0.264944,0.267414,0.258410 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,0.276710,0.282808,0.304439,0.351921,0.442394,0.287803,0.264944,0.267414,0.258410 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,0.276625,0.282863,0.304528,0.351896,0.441749,0.288076,0.264944,0.267414,0.258410 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,0.276543,0.282919,0.304617,0.351869,0.441123,0.288342,0.264944,0.267414,0.258410 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,0.276487,0.282975,0.304705,0.351841,0.440512,0.288601,0.264944,0.267414,0.258410 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,0.276457,0.283033,0.304794,0.351812,0.439918,0.288853,0.264944,0.267414,0.258410 
11/04/2014 01:00,735700.041667,1.291667,1,1,1,0.276442,0.283091,0.304882,0.351782,0.439338,0.289099,0.264944,0.267414,0.258410 
11/04/2014 02:00,735700.083333,1.333333,1,1,1,0.276431,0.283149,0.304970,0.351750,0.438772,0.289340,0.264945,0.267414,0.258410 
11/04/2014 03:00,735700.125000,1.375000,1,1,1,0.276433,0.283207,0.305057,0.351717,0.438221,0.289575,0.264945,0.267414,0.258410 
11/04/2014 04:00,735700.166667,1.416667,1,1,1,0.276427,0.283264,0.305145,0.351684,0.437682,0.289804,0.264945,0.267414,0.258410 
11/04/2014 05:00,735700.208333,1.458333,1,1,1,0.276412,0.283321,0.305231,0.351649,0.437155,0.290029,0.264945,0.267414,0.258410 
11/04/2014 06:00,735700.250000,1.500000,1,1,1,0.276405,0.283377,0.305316,0.351614,0.436641,0.290248,0.264945,0.267414,0.258410 
11/04/2014 07:00,735700.291667,1.541667,1,1,1,0.276356,0.283412,0.305379,0.351571,0.436137,0.290463,0.264945,0.267414,0.258410 
11/04/2014 08:00,735700.333333,1.583333,1,1,1,0.276097,0.283398,0.305396,0.351512,0.435644,0.290674,0.264945,0.267414,0.258410 
11/04/2014 09:00,735700.375000,1.625000,1,1,1,0.275323,0.283217,0.305251,0.351403,0.435161,0.290880,0.264945,0.267414,0.258410 
11/04/2014 10:00,735700.416667,1.666667,1,1,1,0.274140,0.282903,0.304980,0.351253,0.434688,0.291082,0.264945,0.267414,0.258410 
11/04/2014 11:00,735700.458333,1.708333,1,1,1,0.273324,0.282750,0.304877,0.351157,0.434224,0.291280,0.264945,0.267414,0.258410 
11/04/2014 12:00,735700.500000,1.750000,1,1,1,0.271944,0.282386,0.304570,0.350995,0.433768,0.291474,0.264945,0.267414,0.258410 
11/04/2014 13:00,735700.541667,1.791667,1,1,1,0.269417,0.281727,0.303984,0.350746,0.433321,0.291665,0.264945,0.267414,0.258410 
11/04/2014 14:00,735700.583333,1.833333,1,1,1,0.267340,0.281240,0.303590,0.350557,0.432881,0.291851,0.264946,0.267414,0.258410 
11/04/2014 15:00,735700.625000,1.875000,1,1,1,0.265463,0.280786,0.303240,0.350383,0.432449,0.292035,0.264946,0.267414,0.258410 
11/04/2014 16:00,735700.666667,1.916667,1,1,1,0.263836,0.280381,0.302949,0.350227,0.432025,0.292215,0.264946,0.267414,0.258410 
11/04/2014 17:00,735700.708333,1.958333,1,1,1,0.262394,0.279999,0.302685,0.350079,0.431608,0.292392,0.264946,0.267414,0.258410 
11/04/2014 18:00,735700.750000,2.000000,1,1,1,0.262051,0.279919,0.302719,0.350026,0.431198,0.292566,0.264946,0.267414,0.258410 
11/04/2014 19:00,735700.791667,2.041667,1,1,1,0.262040,0.279899,0.302801,0.349987,0.430795,0.292737,0.264946,0.267414,0.258410 
11/04/2014 20:00,735700.833333,2.083333,1,1,1,0.262090,0.279891,0.302887,0.349950,0.430400,0.292905,0.264946,0.267414,0.258410 
11/04/2014 21:00,735700.875000,2.125000,1,1,1,0.262172,0.279889,0.302972,0.349912,0.430011,0.293070,0.264946,0.267414,0.258410 
11/04/2014 22:00,735700.916667,2.166667,1,1,1,0.262254,0.279891,0.303055,0.349873,0.429628,0.293233,0.264946,0.267414,0.258410 
11/04/2014 23:00,735700.958333,2.208333,1,1,1,0.262360,0.279896,0.303139,0.349834,0.429252,0.293393,0.264946,0.267414,0.258410 
12/04/2014 00:00,735701.000000,2.250000,1,1,1,0.262480,0.279905,0.303222,0.349795,0.428882,0.293550,0.264947,0.267414,0.258410 
12/04/2014 01:00,735701.041667,2.291667,1,1,1,0.262606,0.279916,0.303304,0.349756,0.428517,0.293705,0.264947,0.267414,0.258410 
12/04/2014 02:00,735701.083333,2.333333,1,1,1,0.262730,0.279929,0.303386,0.349716,0.428159,0.293857,0.264947,0.267414,0.258410 
12/04/2014 03:00,735701.125000,2.375000,1,1,1,0.262859,0.279944,0.303467,0.349676,0.427805,0.294008,0.264947,0.267414,0.258410 
12/04/2014 04:00,735701.166667,2.416667,1,1,1,0.262992,0.279960,0.303547,0.349636,0.427458,0.294156,0.264947,0.267414,0.258410 
12/04/2014 05:00,735701.208333,2.458333,1,1,1,0.263129,0.279978,0.303627,0.349596,0.427115,0.294302,0.264947,0.267414,0.258410 
12/04/2014 06:00,735701.250000,2.500000,1,1,1,0.263270,0.279998,0.303706,0.349556,0.426777,0.294445,0.264947,0.267414,0.258410 
12/04/2014 07:00,735701.291667,2.541667,1,1,1,0.263325,0.279993,0.303761,0.349508,0.426445,0.294587,0.264947,0.267414,0.258410 
12/04/2014 08:00,735701.333333,2.583333,1,1,1,0.263076,0.279888,0.303719,0.349430,0.426117,0.294727,0.264947,0.267414,0.258410 
12/04/2014 09:00,735701.375000,2.625000,1,1,1,0.262538,0.279702,0.303601,0.349328,0.425793,0.294864,0.264948,0.267414,0.258410 
