Date,JDfrom0,Iprec,WindSp,WindDir,RelHum,AirT,SWglobal,CloudTrans
09/04/2014 18:00,735697.666667,0,0,245.1,25.41,7.98,432,-9999
09/04/2014 19:00,735697.708333,0,4.74,277.77,26.02,7.82,257.07,-9999
09/04/2014 20:00,735697.75,0,4.6,312.4,28.69,6.17,67.64,-9999
09/04/2014 21:00,735697.791667,0,3.32,249.62,31.73,4.74,3.44,-9999
09/04/2014 22:00,735697.833333,0,3.83,256.57,30.76,4.48,0,-9999
09/04/2014 23:00,735697.875,0,4.29,339.2,27.79,4.51,0,-9999
10/04/2014 00:00,735697.916667,0,3.08,260.38,28.66,4.19,0,-9999
10/04/2014 01:00,735697.958333,0,2.16,249.89,31.95,3.58,0,-9999
10/04/2014 02:00,735698,0,2.75,261.46,31.44,3.54,0,-9999
10/04/2014 03:00,735698.041667,0,2.53,337.07,34.38,3.6,0,-9999
10/04/2014 04:00,735698.083333,0,2.73,323.57,37.06,2.88,0,-9999
10/04/2014 05:00,735698.125,0,2.32,334.65,36.23,3.5,0,-9999
10/04/2014 06:00,735698.166667,0,2.95,86.07,33.76,4.55,0,-9999
10/04/2014 07:00,735698.208333,0,3.81,319.82,34.38,5.06,1.73,-9999
10/04/2014 08:00,735698.25,0,3.27,256,38.34,5.32,25.58,-9999
10/04/2014 09:00,735698.291667,0,3.36,246.17,40.6,5.92,126.53,-9999
10/04/2014 10:00,735698.333333,0,2.51,299,40.9,7.1,422.15,-9999
10/04/2014 11:00,735698.375,0,4.81,267.85,42.63,7.62,470.38,-9999
10/04/2014 12:00,735698.416667,0,5.81,248.66,42.34,8.06,629.02,-9999
10/04/2014 13:00,735698.458333,0,5.86,278.7,40.35,9.58,839.77,-9999
10/04/2014 14:00,735698.5,0,6.12,293.62,40.34,10.56,842.85,-9999
10/04/2014 15:00,735698.541667,0,5.62,273.95,41.67,10.66,655.75,-9999
10/04/2014 16:00,735698.583333,0,6.18,304.48,42.17,10.91,685.77,-9999
10/04/2014 17:00,735698.625,0,5.93,309.85,45.56,10.29,507.7,-9999
10/04/2014 18:00,735698.666667,0,5.62,301.93,49.55,9.27,306.5,-9999
10/04/2014 19:00,735698.708333,0,4.38,299.93,50.85,9.11,194.9,-9999
10/04/2014 20:00,735698.75,0,5.05,331.57,51.09,8.33,42.53,-9999
10/04/2014 21:00,735698.791667,0,5.35,306.25,53.24,7.88,2.47,-9999
10/04/2014 22:00,735698.833333,0,4.41,284.77,54.88,7.65,0,-9999
10/04/2014 23:00,735698.875,0,4.03,291.43,55.38,7.47,0,-9999
11/04/2014 00:00,735698.916667,0,3.61,290.38,55.53,7.25,0,-9999
11/04/2014 01:00,735698.958333,0,3.67,323.7,55.32,7,0,-9999
11/04/2014 02:00,735699,0,4.09,337.18,54.69,6.97,0,-9999
11/04/2014 03:00,735699.041667,0,3.97,338.65,54.2,6.79,0,-9999
11/04/2014 04:00,735699.083333,0,4.14,337.9,53.2,6.91,0,-9999
11/04/2014 05:00,735699.125,0,3.1,325.12,52.29,7.21,0,-9999
11/04/2014 06:00,735699.166667,0,1.2,229.27,54.79,6.8,0,-9999
11/04/2014 07:00,735699.208333,0,1.37,322.85,53.25,6.92,1.71,-9999
11/04/2014 08:00,735699.25,0,1.54,45.32,57.36,6.14,18.47,-9999
11/04/2014 09:00,735699.291667,0,1.49,183.05,56.15,6.37,86.45,-9999
11/04/2014 10:00,735699.333333,0,1.3,209.68,48.33,8.54,399.98,-9999
11/04/2014 11:00,735699.375,0,2.99,223.75,43.39,10.29,603.73,-9999
11/04/2014 12:00,735699.416667,0,4.03,251.47,38.45,11.8,754.42,-9999
11/04/2014 13:00,735699.458333,0,4.35,273.12,35.38,13.05,870.75,-9999
11/04/2014 14:00,735699.5,0,5.21,252.85,34.13,14.08,944.75,-9999
11/04/2014 15:00,735699.541667,0,4.13,248.12,34.7,14.41,702,-9999
11/04/2014 16:00,735699.583333,0,3.7,257.98,33.72,13.54,390,-9999
11/04/2014 17:00,735699.625,0,2.97,241.5,35.96,12.91,214.68,-9999
11/04/2014 18:00,735699.666667,0,2.47,269.05,39.73,12.98,234.53,-9999
11/04/2014 19:00,735699.708333,0,3.02,295.82,36.03,12.34,118.78,-9999
11/04/2014 20:00,735699.75,0,3.1,314.77,40.01,11.28,47.62,-9999
11/04/2014 21:00,735699.791667,0,3.04,115.04,49.16,9.69,2.81,-9999
11/04/2014 22:00,735699.833333,0,2.04,116.64,56.36,7.86,0,-9999
11/04/2014 23:00,735699.875,0,1.92,28.87,65.03,6.8,0,-9999
12/04/2014 00:00,735699.916667,0,1.66,24.03,67.64,5.9,0,-9999
12/04/2014 01:00,735699.958333,0,1.69,30.1,73.32,5.07,0,-9999
12/04/2014 02:00,735700,0,1.69,30.1,78.39,4.61,0,-9999
12/04/2014 03:00,735700.041667,0,1.86,36.06,78.62,4.15,0,-9999
12/04/2014 04:00,735700.083333,0,1.86,36.38,80.52,3.89,0,-9999
12/04/2014 05:00,735700.125,0,1.62,35.47,78.51,3.82,0,-9999
12/04/2014 06:00,735700.166667,0,1.46,39.71,74.45,4.09,0,-9999
12/04/2014 07:00,735700.208333,0,2.23,37.97,66.94,4.48,1.82,-9999
12/04/2014 08:00,735700.25,0,1.99,36.62,62.58,5.41,36.78,-9999
12/04/2014 09:00,735700.291667,0,1.1,29.19,66.3,6.13,82.88,-9999
12/04/2014 10:00,735700.333333,0,1.12,161.69,69.06,5.88,107.83,-9999
12/04/2014 11:00,735700.375,0,0.84,176.85,70.18,6.06,246.22,-9999
