Date, Hveg, thres_veg_1, thres_veg_2, LSAI, canopy fraction, decay coeff, snow burial coeff, root depth, min stomatal res
01/10/2009 00:00,20,50,10,0.2,0.1,2,1,250,25
02/10/2009 00:00,20,50,10,0.2,0.1,2,1,250,25
03/10/2009 00:00,20,50,10,0.2,0.1,2,1,250,25
04/10/2009 00:00,20,50,10,0.2,0.1,2,1,250,25
05/10/2009 00:00,19.91,50,10,0.2,0.09,2,1,250,25
06/10/2009 00:00,20.73,50,10,0.21,0.1,2,1,250,25
07/10/2009 00:00,21.81,50,10,0.22,0.1,2,1,250,25
08/10/2009 00:00,23.21,50,10,0.23,0.11,2,1,250,25
09/10/2009 00:00,24.09,50,10,0.24,0.11,2,1,250,25
10/10/2009 00:00,24.17,50,10,0.24,0.11,2,1,250,25
11/10/2009 00:00,24.56,50,10,0.25,0.12,2,1,250,25
12/10/2009 00:00,25.48,50,10,0.25,0.12,2,1,250,25
13/10/2009 00:00,25.47,50,10,0.25,0.12,2,1,250,25
14/10/2009 00:00,25.41,50,10,0.25,0.12,2,1,250,25
15/10/2009 00:00,25.08,50,10,0.25,0.12,2,1,250,25
16/10/2009 00:00,24.76,50,10,0.25,0.12,2,1,250,25
17/10/2009 00:00,24.78,50,10,0.25,0.12,2,1,250,25
18/10/2009 00:00,24.48,50,10,0.24,0.12,2,1,250,25
19/10/2009 00:00,24.17,50,10,0.24,0.11,2,1,250,25
20/10/2009 00:00,23.91,50,10,0.24,0.11,2,1,250,25
21/10/2009 00:00,23.6,50,10,0.24,0.11,2,1,250,25
22/10/2009 00:00,23.41,50,10,0.23,0.11,2,1,250,25
23/10/2009 00:00,23.13,50,10,0.23,0.11,2,1,250,25
24/10/2009 00:00,23.12,50,10,0.23,0.11,2,1,250,25
25/10/2009 00:00,23.84,50,10,0.24,0.11,2,1,250,25
26/10/2009 00:00,24.84,50,10,0.25,0.12,2,1,250,25
27/10/2009 00:00,25.75,50,10,0.26,0.12,2,1,250,25
28/10/2009 00:00,26.57,50,10,0.27,0.12,2,1,250,25
29/10/2009 00:00,27.62,50,10,0.28,0.13,2,1,250,25
30/10/2009 00:00,28.92,50,10,0.29,0.13,2,1,250,25
31/10/2009 00:00,29.71,50,10,0.3,0.14,2,1,250,25
01/11/2009 00:00,29.97,50,10,0.3,0.14,2,1,250,25
02/11/2009 00:00,30.72,50,10,0.31,0.14,2,1,250,25
03/11/2009 00:00,30.32,50,10,0.3,0.14,2,1,250,25
04/11/2009 00:00,30.16,50,10,0.3,0.14,2,1,250,25
05/11/2009 00:00,29.77,50,10,0.3,0.14,2,1,250,25
06/11/2009 00:00,29.38,50,10,0.29,0.14,2,1,250,25
07/11/2009 00:00,28.99,50,10,0.29,0.13,2,1,250,25
08/11/2009 00:00,28.6,50,10,0.29,0.13,2,1,250,25
09/11/2009 00:00,28.22,50,10,0.28,0.13,2,1,250,25
10/11/2009 00:00,65.92,50,10,0.66,0.28,2,1,250,25
11/11/2009 00:00,65.3,50,10,0.65,0.28,2,1,250,25
12/11/2009 00:00,64.58,50,10,0.65,0.28,2,1,250,25
13/11/2009 00:00,64.09,50,10,0.64,0.27,2,1,250,25
14/11/2009 00:00,63.89,50,10,0.64,0.27,2,1,250,25
15/11/2009 00:00,63.37,50,10,0.63,0.27,2,1,250,25
16/11/2009 00:00,63.03,50,10,0.63,0.27,2,1,250,25
